,feature,mean,q.05,q.95,type
0,x1,0.0,0.0,0.0,pfi
1,x2,0.0,0.0,0.0,pfi
2,x3,0.0,0.0,0.0,pfi
3,x4,0.023232088924390083,0.022076230038151477,0.02417066815155831,pfi
4,x5,0.022634549298341917,0.021782312992828602,0.02409014813427822,pfi
5,x1,0.0,0.0,0.0,cfi
6,x2,0.0,0.0,0.0,cfi
7,x3,0.0,0.0,0.0,cfi
8,x4,0.00022887881800647745,0.0002172547282661689,0.00023924625840610788,cfi
9,x5,0.023114695942296766,0.022237286097834284,0.024834243030246388,cfi
10,x1,0.0,0.0,0.0,rfi
11,x2,0.0,0.0,0.0,rfi
12,x3,0.0,0.0,0.0,rfi
13,x4,0.00040748849105993746,-0.0014344063466007594,0.0021024786551736806,rfi
14,x5,0.0229177162838033,0.021439374998530065,0.02473656526344959,rfi
