method,n_samples,mse,r2,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
Sobol-CPI(1),100,1.879312936754863,0.7628185542268746,0.4267919997637717,1.0,1.0636490866047843,1.0,0.03227391767476828,0.0,0.011731781904568472,0.0,0.48143305302271155,0.0,0.06953661616291917,0.0,-0.003765687149891117,0.0,-0.06350800761039865,0.0,-0.009981134756214205,0.0,0.013875290526712214,0.0
Sobol-CPI(1),250,2.187530285511169,0.7931547937811841,0.24943656327191466,1.0,1.860428279951536,1.0,-0.05105377980556969,0.0,-0.07023852903650285,0.0,0.5195141258667122,0.0,-0.005330811342628694,0.0,-0.005514803219177189,0.0,0.056054514567148495,0.0,0.017635901002330368,0.0,0.010579194445949458,0.0
Sobol-CPI(1),500,1.3583132031161513,0.8713535053751551,0.299420876218648,1.0,1.642099092927614,1.0,0.002012571466855295,0.0,-0.00998138296999651,0.0,0.5465829523374166,0.0,0.0023289349125177328,0.0,-0.017861835656685976,0.0,0.05149716402764093,0.0,0.086154623971897,0.0,-0.0014920217811483782,0.0
Sobol-CPI(1),1000,1.667657814504114,0.8573879715538395,0.5984152918856767,1.0,1.3485465793630733,1.0,-0.01593985484371241,0.0,-0.044861105314279004,0.0,0.841547484048939,0.0,0.007946039535469795,0.0,-1.3717577903360478e-05,0.0,0.11606168148894869,0.0,0.07362098129318717,0.0,-0.00110185705439525,0.0
Sobol-CPI(1),2000,1.0565052711658862,0.9008006935137343,0.5617066746865109,1.0,1.6193176427937874,1.0,0.0003688267998847028,0.0,0.006183738280732376,0.0,0.8855237609493025,0.0,0.007975666182424734,0.0,-0.002796936040101672,0.0,0.1376245171449325,0.0,0.10974793528992977,0.0,0.0012495963946269617,0.0
Sobol-CPI(1),5000,0.7327445970407322,0.9311660353443825,0.5304140432390236,1.0,1.7652138956127124,1.0,0.0036323967089194054,0.0,-0.005787395794470684,0.0,0.9176346229621273,0.0,0.004441807544060317,0.0,-0.0006589348081131874,0.0,0.18746545581326657,0.0,0.1294263081718408,0.0,0.00570556620778867,0.0
Sobol-CPI(100),100,1.879312936754863,0.7628185542268746,0.22791835390204057,1.0,1.3199696148725977,1.0,-0.29659621465526487,0.0,-0.1046335504955568,0.0,0.6620102186448563,0.0,0.06805352434657434,0.0,-0.02640340259735527,0.0,-0.17590883354107156,0.0,0.01812383254595454,0.0,-0.0478780325773905,0.0
Sobol-CPI(100),250,2.187530285511169,0.7931547937811841,0.06354672080698541,1.0,2.0930063239169674,1.0,-0.09130680556700069,0.0,-0.13141634443911787,0.0,0.49040449621780946,0.0,0.013289441401326978,0.0,-0.010633549292646838,0.0,0.11394612905410423,0.0,0.07987392306040847,0.0,0.009719678285073875,0.0
Sobol-CPI(100),500,1.3583132031161513,0.8713535053751551,0.5125743919353904,1.0,1.818956236837202,1.0,-0.05726997205227086,0.0,-0.02784048949210899,0.0,0.7696923241894602,0.0,0.007706743960145147,0.0,-0.02323137360952606,0.0,0.11690535098537888,0.0,0.09305653278270623,0.0,-0.010281601306148322,0.0
Sobol-CPI(100),1000,1.667657814504114,0.8573879715538395,0.4230462686601492,1.0,1.7585166702646928,1.0,-0.07493869344452421,0.0,-0.050844527971361075,0.0,0.970346068343061,0.0,0.016520775926613787,0.0,-0.004266175996291433,0.0,0.23671030191842166,0.0,0.1437968665349739,0.0,-0.0020670136953485816,0.0
Sobol-CPI(100),2000,1.0565052711658862,0.9008006935137343,0.5061597017085585,1.0,1.8609215102287142,1.0,-0.006110213591137281,0.0,-0.010393332569587011,0.0,1.1652976970966926,0.0,0.008443307545209543,0.0,0.0001915490500232588,0.0,0.21956935985698808,0.0,0.14951232735069864,0.0,-0.007583226569733277,0.0
Sobol-CPI(100),5000,0.7327445970407322,0.9311660353443825,0.5417616044474594,1.0,1.7538840546578045,1.0,-0.0075195297744238354,0.0,-0.01121490460887525,0.0,1.2738994165019863,0.0,0.00010165155679673046,0.0,-0.003517992580823,0.0,0.2421891849024087,0.0,0.23820038745360017,0.0,-0.0001929120980796412,0.0
PFI,100,1.879312936754863,0.7628185542268746,1.0600536369957885,1.0,4.114627951386604,1.0,0.27032971168326725,0.0,-0.06535196763630813,0.0,1.5241978154711187,0.0,0.1591680911743496,0.0,-0.043896014041837406,0.0,-0.026991524338336292,0.0,0.1041115898868532,0.0,-0.15519561280957525,0.0
PFI,250,2.187530285511169,0.7931547937811841,1.564471522424562,1.0,6.9833511890941535,1.0,0.055845999772752286,0.0,0.20048528381346742,0.0,1.0279547541116703,0.0,0.13337912863563206,0.0,0.07307067464312134,0.0,0.21379175771455783,0.0,0.15747913416060966,0.0,0.030918161420246282,0.0
PFI,500,1.3583132031161513,0.8713535053751551,1.8029288734963336,1.0,7.334338840682642,1.0,0.09345783480580372,0.0,0.05558697612757135,0.0,1.7183035871876244,0.0,0.10894874501369567,0.0,-0.02886098605735365,0.0,0.23084647282555149,0.0,0.23803440682937557,0.0,0.018748360936668984,0.0
PFI,1000,1.667657814504114,0.8573879715538395,1.8886950198004533,1.0,7.188466318252226,1.0,0.26308478247310463,0.0,0.042529335246964894,0.0,1.6779317007612642,0.0,0.10333864245147972,0.0,0.014477706252862932,0.0,0.4256770411122517,0.0,0.32324469210241413,0.0,0.02431768612234153,0.0
PFI,2000,1.0565052711658862,0.9008006935137343,2.0092553847869676,1.0,7.516916133324187,1.0,0.15156296515325662,0.0,0.06635573520676186,0.0,2.0230593622317485,0.0,0.06649505257873334,0.0,0.018732872165012404,0.0,0.47450107145093323,0.0,0.4541125918495239,0.0,0.02144148600484086,0.0
PFI,5000,0.7327445970407322,0.9311660353443825,1.8420502065573365,1.0,7.265170572372322,1.0,0.10242324720600204,0.0,0.03786898894148294,0.0,2.5009730177791965,0.0,0.040468896638648055,0.0,0.018629359651256117,0.0,0.596847859733941,0.0,0.6307008186563274,0.0,0.043000593414969424,0.0
CFI,100,1.879312936754863,0.7628185542268746,0.5266959097433799,1.0,2.1579920733613567,1.0,-0.1881319939894104,0.0,-0.25499771337924426,0.0,0.8365973982340011,0.0,0.028500009251178682,0.0,-0.031568980655213075,0.0,-0.09844362854835675,0.0,0.024104601513234236,0.0,-0.0747565005390658,0.0
CFI,250,2.187530285511169,0.7931547937811841,0.6593328013737891,1.0,2.980238027407612,1.0,-0.018954316911527602,0.0,0.03747415279438249,0.0,0.93182423894729,0.0,0.02080193559661625,0.0,0.01179675546000114,0.0,0.05804923789028571,0.0,0.15473355473241224,0.0,0.07331094609308808,0.0
CFI,500,1.3583132031161513,0.8713535053751551,0.8268769006089234,1.0,3.6734163240407556,1.0,0.015074840845587856,0.0,0.014548046172341955,0.0,1.3586497898770609,0.0,0.017421807079528673,0.0,-0.02773869006508112,0.0,0.12188270029822855,0.0,0.0991405711145743,0.0,-7.689117662446066e-05,0.0
CFI,1000,1.667657814504114,0.8573879715538395,0.9311057369514706,1.0,2.9418362145320334,1.0,-0.013083213757546508,0.0,-0.025793533745062547,0.0,1.2894671123573551,0.0,0.004531942115909793,0.0,0.0006965351777414863,0.0,0.21312892284302531,0.0,0.14976522904518386,0.0,0.008968897222107364,0.0
CFI,2000,1.0565052711658862,0.9008006935137343,0.9723900308391302,1.0,3.2207179396211143,1.0,-0.009298039331392394,0.0,-0.006902462588217695,0.0,1.638845731977745,0.0,0.023237030770082434,0.0,0.00875717898888051,0.0,0.35291902056711866,0.0,0.17642807712710207,0.0,-0.018084316352342977,0.0
CFI,5000,0.7327445970407322,0.9311660353443825,1.1438503754595253,1.0,3.32242558862857,1.0,0.009958596017679677,0.0,-0.00950272698702237,0.0,1.9588108632873074,0.0,0.012076663091757476,0.0,-0.002203373896075611,0.0,0.33449905233240673,0.0,0.35065523621169437,0.0,0.0004459279670263605,0.0
cSAGEvf,100,1.879312936754863,0.7628185542268746,5.284506571284817,1.0,6.704732193981576,1.0,3.7590151944266106,0.0,2.397552187775153,0.0,2.798181559491824,0.0,1.5292948975754195,0.0,1.1462761882669668,0.0,0.03730092359421633,0.0,0.661130637109764,0.0,0.6528715278458481,0.0
cSAGEvf,250,2.187530285511169,0.7931547937811841,4.750612391455033,1.0,8.039414662127923,1.0,2.551345406589178,0.0,0.3805483379058856,0.0,1.3791130843121877,0.0,0.4431984825332372,0.0,-0.6978253898405455,0.0,-0.03862032685402994,0.0,-0.1896973605917971,0.0,0.46693092629080546,0.0
cSAGEvf,500,1.3583132031161513,0.8713535053751551,5.830663318719642,1.0,7.459776156995305,1.0,2.6279725101666953,0.0,0.9152150500368138,0.0,2.800035938351348,0.0,0.4312205729873444,0.0,0.309926768698519,0.0,-0.01761271818951471,0.0,0.6600344130863114,0.0,0.06717510033405283,0.0
cSAGEvf,1000,1.667657814504114,0.8573879715538395,5.796664466703575,1.0,7.777656540427407,1.0,3.595503322426696,0.0,1.4852958629691315,0.0,1.9643519117022008,0.0,0.48668930199846727,0.0,-0.19488892130686963,0.0,0.4166979954579837,0.0,0.24659821521171565,0.0,0.23915133447441936,0.0
cSAGEvf,2000,1.0565052711658862,0.9008006935137343,4.5998939358544115,1.0,7.000663360135096,1.0,2.9972299061558454,0.0,1.0576906029137714,0.0,2.1566770998424456,0.0,0.7685378149007214,0.0,-0.029851810437060422,0.0,0.6703904541499313,0.0,0.4343295107310788,0.0,0.039732409391753265,0.0
cSAGEvf,5000,0.7327445970407322,0.9311660353443825,5.0398279387248275,1.0,6.978801570286726,1.0,2.94702326054058,0.0,1.272252040040616,0.0,2.2578761181095715,0.0,0.2674629465904168,0.0,0.13467560527560885,0.0,0.30769201069085206,0.0,0.5143248176043134,0.0,0.12677244021840295,0.0
