method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),318802.6919847004,0.9175667477802237,6635.616109134513,0.0,950.5238042894634,718.1097198255593,28719.65363204648,1720.8256196949515,65783.88225515903,804202.1713477336,90471.72223585448,70204.35063393658,47348.583705251396
Sobol-CPI(100),318802.6919847004,0.9175667477802237,12418.747338794154,5.186821269516898e-10,1432.0430794014426,1316.7223973812922,26828.18817739717,1884.5893758624022,34068.46732032632,710913.3810612661,25189.853268654013,59324.09243319866,60729.719781561864
PFI,318802.6919847004,0.9175667477802237,98407.42639207997,0.0,53499.71333375038,7776.258690172223,50886.16352169978,10458.335100268829,22537.164986621065,1465248.9028630597,319278.66615263536,137782.1651503002,2934387.63526289
CFI,318802.6919847004,0.9175667477802237,35997.11007626384,0.0,2973.358818142733,1724.7590616025263,28252.7409220782,4056.0364887286564,120566.07657553762,1414545.2103596325,175908.29997939453,131824.39779840637,98046.24418950215
cSAGEvf,318802.6919847004,0.9175667477802237,767046.4793260586,1460624.0166573743,295790.2640387919,129494.1449123402,-133092.1978287585,116.52454594429582,535166.4638795066,1389944.8177875653,286943.19877636014,269923.9823863399,2263304.1574322972
scSAGEj,318802.6919847004,0.9175667477802237,13026.48178729415,0.0,1466.5284568604548,695.2272931415355,28112.664705587493,1538.085672203335,43004.27992935083,660224.5873407573,33117.23283896269,69823.57594001427,57722.99581530138
mSAGEvf,318802.6919847004,0.9175667477802237,225409.36796723725,18347.288613392506,-277045.6514065899,-13493.345885066316,-43595.30853884248,-287747.23265201785,164599.8901086389,1557280.936555889,107363.31092097098,150817.2443580078,2263891.9474340095
cSAGE,318802.6919847004,0.9175667477802237,276185.16081369645,715850.9583028591,184954.12421734896,4500.629759915955,42298.88515441261,9348.040479174688,174429.3523901309,948066.6744895222,121690.78359631501,97982.23959731193,1042427.8136149782
mSAGE,318802.6919847004,0.9175667477802237,155711.68329556164,936.9371420300446,-52181.69868292736,4306.746582659223,39701.70539981435,11304.137018530051,91510.43481508577,1146394.3658804428,152250.23801870327,132426.38792865007,1946289.6886585152
LOCO,318802.6919847004,0.9175667477802237,-13522.799146687961,-7126.952403191361,-742.0122484266758,-2746.173566492449,44853.29645906127,2444.9301383090788,50865.28750402515,185677.6164197644,14933.354633497074,33538.98949005408,7257.398843086092
LOCO-W,318802.6919847004,0.9175667477802237,24151.4998467056,19998.142344465734,-39544.28119438488,-36877.94969594106,72622.20350054049,-102685.93532105444,108241.88139792645,205762.48967123646,224956.335410423,-17689.28946114728,86922.51817059997
LOCI,318802.6919847004,0.9175667477802237,1580820.41378862,1461400.0244910298,1492089.2223992595,16778.526596079115,34829.83822115278,21386.451436305884,381441.7162056216,1668850.419593614,450883.719512308,298626.2096825596,3198351.0240098364
