method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),350496.4602584576,0.9180474004363908,16980.93801313959,0.0,691.8888484074268,1279.7982673367078,36460.01243956876,785.3803549051518,72794.15664497617,616871.9525025852,112896.67692306382,57829.030021708866,67219.19443481349
Sobol-CPI(100),350496.4602584576,0.9180474004363908,17943.12193225643,2.3052538975630656e-10,-1366.456060354554,3269.904340961072,51040.17740765703,980.4093951210126,64518.53563449729,558692.3760835783,110966.42473564987,57766.16577286432,50056.40573631493
PFI,350496.4602584576,0.9180474004363908,37240.930535035324,2478.6542380686733,30462.374853320947,159.4382681195857,58427.26960147679,10785.163632204523,76660.87442218297,1697207.4690719254,369771.39239199366,125131.2199369492,3269810.363491092
CFI,350496.4602584576,0.9180474004363908,23022.420613063965,0.0,-1010.7343037836254,3437.4207271633786,80734.56615597528,9136.726774363313,74768.39017560967,1326548.3941753467,214828.15452789539,137169.68554885202,88558.14897411718
cSAGEvf,350496.4602584576,0.9180474004363908,778814.7638409087,1668228.303916871,557573.2973674852,-154108.90560912993,-237141.01520983785,-145407.75493363943,298559.10720851365,1999376.7425469575,-51303.68282767199,617555.975861155,2865488.0157066328
scSAGEj,350496.4602584576,0.9180474004363908,20234.722262550553,0.0,-1433.5260080376174,1631.9609001721838,53875.250142773904,662.0736030103872,61494.7999245986,554220.3695651821,107668.86715908075,52090.59846166498,57830.465893072425
mSAGEvf,350496.4602584576,0.9180474004363908,207537.72346567642,14805.751939794049,-405445.35566786304,87413.86292853951,-71972.23878977448,36461.65636568144,8427.440586235374,2059412.8585992123,-76793.14191049617,166213.8166678329,2832449.074350005
cSAGE,350496.4602584576,0.9180474004363908,284970.88455295353,873133.3076682321,170849.45883822977,2699.8207214469912,23537.971855182135,-14905.208611327014,165631.27697429614,1072527.2123464104,80418.68777697743,117498.4403336165,1217804.8548833623
mSAGE,350496.4602584576,0.9180474004363908,142201.62695440225,4585.276977980503,-199413.61474542937,13928.091018388051,44824.266754869874,-7699.722972829917,80092.28895045421,1446540.5708421255,89010.74574556593,145110.14521502424,2239181.5854114136
LOCO,350496.4602584576,0.9180474004363908,23363.701767129474,47.30013744911412,-15272.02800899878,23267.292335582606,51928.15628431947,-9415.424322973995,32424.687475506216,116129.72118062526,70266.36157581734,45129.602816192026,-18467.092882053403
LOCO-W,350496.4602584576,0.9180474004363908,12322.741870325011,1380.1859700231448,-14612.023823779085,31003.541840123104,92828.42762759166,17611.22655503391,-4725.789976767331,285006.5125957199,-61775.9030271732,1246.760076901498,84564.56705109116
LOCI,350496.4602584576,0.9180474004363908,1699781.6155065335,1685799.8989988812,1810909.6013280088,28683.591792765073,-97995.37297454383,-107359.8668298237,282046.95898091374,2235580.636018185,140686.3146825079,353134.06328111095,3482107.653888911
