method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),503797.23238163267,0.86099069702841,-14044.768007653125,0.0,355.4927272959321,-515.8210692177236,10591.251987074793,-617.4543118197762,6554.61071037408,490076.949617517,89131.25528562925,46197.28358197276,8461.566363180318
Sobol-CPI(100),503797.23238163267,0.86099069702841,13096.568711994141,6.915761692689197e-10,-1649.3628452470905,-1386.681361551256,16553.720618185118,4651.063865336179,18355.844396173594,590876.4169998569,124845.57241551096,75813.98488679407,26108.8034450254
PFI,503797.23238163267,0.86099069702841,181637.9648314626,159163.89843639452,81375.88491224486,281.4291756802704,16491.35467295925,18528.24076955777,138756.9188758504,1092226.8460712587,236682.8308731293,119751.1184971088,1037013.5421154761
CFI,503797.23238163267,0.86099069702841,28043.608864285634,0.0,-2082.0165867346805,-108.61670187080745,19149.71036955784,392.53342585021164,70707.1806869047,890595.0593168366,201534.95543911576,68088.7137710884,52359.769283843576
cSAGEvf,503797.23238163267,0.86099069702841,946133.9465273772,977870.4549219431,930267.5528553049,106808.52731940057,49564.10401006462,37016.92026600707,240973.67116202973,1513706.9692195486,278424.81374187674,318083.7576699266,1810107.279393823
scSAGEj,503797.23238163267,0.86099069702841,12262.745161601633,0.0,-736.1323125856579,-1115.0955456660013,16879.227139955154,3800.5959616577597,12195.607025390666,612390.4468601755,116184.81487402809,71664.8957510338,23919.95360061759
mSAGEvf,503797.23238163267,0.86099069702841,597456.3423349969,632122.4064846891,548600.5784029728,-93124.03793404531,95231.29917906737,-83133.76627626922,59065.25055084005,1172206.8908694526,169354.99537831964,-214514.46030857833,1614192.3621072331
cSAGE,503797.23238163267,0.86099069702841,312725.4643442296,502968.6705429694,305351.0474526185,3691.4047341230594,17715.28470964064,-4745.56878832009,89404.9475105128,906272.2511453811,137141.3398330013,124734.85227147829,824441.3930208501
mSAGE,503797.23238163267,0.86099069702841,310804.0225107098,394847.45964355796,203814.54198727064,1468.8334015097566,15545.944821125117,12779.263283674549,90593.60793887348,966358.9512730346,105575.12906929357,91596.0283445315,1025485.3323938247
LOCO,503797.23238163267,0.86099069702841,-50572.78857074841,-54323.586601700634,-7668.118761224556,-18336.142276360595,-5706.2274547619745,-3659.3443360544625,18050.33874659863,175346.0194442178,84233.76242704084,24627.367080101976,-21282.654524830054
LOCO-W,503797.23238163267,0.86099069702841,124818.87962278987,-20589.013041900755,-28992.111168963198,3101.7760144396475,60264.38275318257,-9090.75925112806,6228.3697898249375,259171.8456701975,-117736.25454716553,-18271.223482960315,-54106.428782751595
LOCI,503797.23238163267,0.86099069702841,1334574.3662984371,807675.8399941465,1316993.6492768181,-10845.353783072438,-67627.17916799244,15926.590171995573,342904.49307752214,1369846.1797416345,-1354158.4629420629,-1036002.1302423347,2678269.185481245
