method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),397398.532420068,0.9008952124226934,52648.01547185375,0.0,2541.7800506803032,2114.9762641156267,2749.8641174319782,4413.977559778956,24092.859809438785,456609.4205619048,93724.17184991497,14744.892304251727,36940.67491360544
Sobol-CPI(100),397398.532420068,0.9008952124226934,69222.17838268664,5.763134743907664e-10,1385.0554079773472,2499.1052217127426,6687.332846117171,3937.9664417653053,16386.740525844358,406175.02441248216,178906.53902173502,53012.825741222885,36063.73603320156
PFI,397398.532420068,0.9008952124226934,97231.5249743198,352245.7859630952,66507.33603418368,1184.3977210884332,24029.32548027212,7704.372111054486,131143.06746904767,986084.5149816326,255468.25392210885,92130.26958690479,1098569.9713231293
CFI,397398.532420068,0.9008952124226934,67206.0506965986,0.0,4187.378677721077,1132.176506462507,3835.3003547618864,-1116.7822039115708,28241.63121258508,817995.6222134354,209466.1967637756,73184.26192721096,63002.861600510194
cSAGEvf,397398.532420068,0.9008952124226934,971177.116315241,1641524.8931744243,784811.7677339171,237302.22251857215,182834.23310855124,158936.22503490373,268751.8608311601,1547023.025148754,437054.7773429267,451290.08133947477,2407484.3864280675
scSAGEj,397398.532420068,0.9008952124226934,70736.56957210245,0.0,1355.5835912170005,1711.5275948100607,6893.693471907056,2885.5426360617275,17795.050641432812,365479.88050202996,186076.7581665647,59360.567832475885,39185.10094694898
mSAGEvf,397398.532420068,0.9008952124226934,345321.1296554189,808296.2566191684,230777.62603571545,-2933.867523905821,-88826.06323497742,-161106.46139130648,189672.6341353245,1558569.0018747048,231986.58370173024,268485.9272920918,1899792.6218033263
cSAGE,397398.532420068,0.9008952124226934,363996.74146155117,778437.543753777,218937.63651001337,11434.536273992746,16295.89184195915,9447.412774291874,141687.00017330318,809359.0089101867,232387.29044817464,121268.9741944399,1058738.1166164228
mSAGE,397398.532420068,0.9008952124226934,259471.90980150516,537731.1733336564,182385.58401140725,852.387895980177,13981.29402323133,4665.740386280492,134520.06247137,1001914.8823612893,212377.98163968904,95367.07941020024,1321566.8827254386
LOCO,397398.532420068,0.9008952124226934,31078.07348384353,23599.092366496683,-2208.6477232993348,25993.619011054514,34205.204697619134,18095.812043537502,47745.91228894552,29129.18442959193,150940.46437653067,34205.84921105456,29847.65114914981
LOCO-W,397398.532420068,0.9008952124226934,6251.797773300034,-17509.391608109618,-103325.56333760962,6518.146319305672,131625.7298528955,-19022.8541852854,-3875.406761879572,230215.18014407327,147818.9726343588,19512.552566063103,36446.44267485265
LOCI,397398.532420068,0.9008952124226934,1481174.7217404018,1581186.2583228457,1589120.093298844,-9731.649519253522,-30665.804059881717,2590.952149861492,443357.3071032148,1460706.0470530656,-1129444.6077532894,-934458.7538108951,3226079.300738789
