method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),397675.3862537687,0.8860214994342674,21090.50244004093,0.0,700.7099582962983,8179.237693316827,22530.827270819223,398.1910998309322,12425.049312584219,634053.2635923051,109373.82862996013,140051.41835518257,39633.747665345756
Sobol-CPI(100),397675.3862537687,0.8860214994342674,31171.234387237957,-1.1526269487815328e-10,-1181.119414460315,16146.812522769236,16017.193154569042,1875.3781437049136,1767.3864133316,516311.658433008,124608.16968920875,86924.36711903135,59332.721446001364
PFI,397675.3862537687,0.8860214994342674,37359.08176882425,-170.3376689631259,111194.99911804893,15137.63653174357,54663.95897156285,8850.941743152973,64867.49873505015,1734973.9033267722,360290.60814266163,201555.31137744163,2800110.466657242
CFI,397675.3862537687,0.8860214994342674,44424.34572167235,0.0,8905.428952762624,16083.990223965957,32201.77610930265,136.01049572241027,81073.0526445299,977090.6039799231,213094.44242601318,98606.63419069338,101156.39399640699
cSAGEvf,397675.3862537687,0.8860214994342674,743762.238747152,978801.6240310486,492319.0768185035,127300.60672533885,217265.49468078418,236902.93441191316,244098.86642826395,1552253.5318880116,108936.06622138573,299230.80203095824,2091336.6627728136
scSAGEj,397675.3862537687,0.8860214994342674,32115.27880040609,0.0,-1544.0591769655584,14837.690179002122,15338.021232640427,1744.7082007830031,-4206.60345125373,477376.73404929996,121796.58951450516,84458.70395126217,60869.36363798286
mSAGEvf,397675.3862537687,0.8860214994342674,285848.6344491723,-44151.7141812318,-259783.61694540083,19799.924780980684,90623.7253233036,125936.24705470819,221756.3778359294,1485145.3864294053,-261886.6965266969,41738.868339672685,2204115.4636699324
cSAGE,397675.3862537687,0.8860214994342674,273043.91882881033,579754.209308584,140747.65397640568,18369.527090200478,20685.394628851336,11477.002961247288,94853.14459192975,886202.2744038716,117916.93296202864,106478.15941009001,915567.8266440735
mSAGE,397675.3862537687,0.8860214994342674,102813.56676329477,-689.2563870212233,-181192.86303541512,14976.884461006834,24066.39083131629,16666.12880125957,62644.3431461714,1208518.1419070386,73422.90202404212,138177.2712180768,1710035.8695158812
LOCO,397675.3862537687,0.8860214994342674,24066.758242762997,-4101.415320991073,1355.1371704447665,5421.019771981402,20487.043988186517,-458.3110816292465,1330.9649179733824,196260.98570661107,48509.542805573554,25551.44355021481,35205.02241682354
LOCO-W,397675.3862537687,0.8860214994342674,-31141.408063688712,-78131.5338916646,-14219.82844819013,69162.69007331476,11013.99123261306,-28887.796927329906,-61400.18186176123,114832.70275585186,-24105.863411500042,45691.1192606496,29244.70075484723
LOCI,397675.3862537687,0.8860214994342674,1258660.9700819817,1050172.5663031782,1232274.2512698816,29635.81756557757,11905.316844341345,24562.485483681783,185962.66640876094,1701804.3605104152,-35016.575077870395,226746.97415748937,2594547.2364130546
