method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),343025.02906292526,0.8971132578623086,40172.812606292486,0.0,0.028386989783030003,-71.83146215986926,2154.356121513556,3417.5026389455306,59522.76745909863,332908.3107885204,76820.36721352037,32073.78580918361,24611.240809693816
Sobol-CPI(100),343025.02906292526,0.8971132578623086,36949.35225615057,-5.186821269516898e-10,-3729.622145272828,165.827566757049,2030.3911753493883,945.5554747065336,16688.243608552406,316499.4301062084,122510.56615859311,15847.9245735877,21517.166269491114
PFI,343025.02906292526,0.8971132578623086,194026.48122261895,489998.2646379251,108252.38982465985,667.9780239795218,27401.935925169964,-7656.484399830049,131763.69480136049,1076666.7471581628,276476.6776372448,27137.557885714108,966683.6427857142
CFI,343025.02906292526,0.8971132578623086,62086.03385850334,0.0,-9030.3950579933,52.547734183608554,14272.73481989786,-2016.8532290817238,90910.33977789106,674801.4411068027,291736.01794608845,38290.654842176824,17853.24715833325
cSAGEvf,343025.02906292526,0.8971132578623086,859785.2266859147,1383623.1620455608,822965.4748860272,294577.88121178,76782.6148890988,33333.4795314651,-25069.355030120816,1300458.3360098205,98971.47038077144,190262.2769450592,2053090.7399121672
scSAGEj,343025.02906292526,0.8971132578623086,35789.00243404851,0.0,-3729.625981386111,98.97526324028149,2277.0298412122065,-45.547085806552786,8412.151837653248,306526.2246696332,135415.58352904307,12508.120612124505,22012.888945344777
mSAGEvf,343025.02906292526,0.8971132578623086,324492.67422293406,660882.0712339142,237399.64805814248,-19398.32799433032,-9849.387647449039,34807.78319324553,111069.56563441362,1031365.2974778293,143278.46689879894,198373.426762145,1554024.824055765
cSAGE,343025.02906292526,0.8971132578623086,300738.64417222043,637576.764037241,253524.56613425587,-629.2875649953437,3467.7293769796556,-300.3894614882734,122469.12784092629,627733.6024952626,179442.7313954628,40368.93193720528,896409.2444173166
mSAGE,343025.02906292526,0.8971132578623086,283050.4687137883,507328.4840810071,157795.05157178422,3456.1601893919524,2826.1306790222243,-511.1339989971294,101638.85577054668,754527.7721874425,167764.23008684377,46819.77748861193,1034681.7478872235
LOCO,343025.02906292526,0.8971132578623086,12448.964645408094,4424.530377040734,14074.993144557695,-4866.260642517183,8966.885972448858,-4061.4201255102525,37800.77174285712,90779.08604438766,139069.57907125837,3224.834016156441,43110.12777040806
LOCO-W,343025.02906292526,0.8971132578623086,-62663.579100816576,77423.32411925541,117537.31514318055,-21922.932309795076,10054.850985801924,-4873.3957623168235,-51331.70481134723,79500.5159404642,45720.439768371456,28598.70580661025,138779.33060169895
LOCI,343025.02906292526,0.8971132578623086,1022492.4008817701,1223384.6807106244,1270640.214315733,38820.94600804243,-84174.69989183499,-17413.040467507206,238807.3342612628,1048891.8139959564,-1196623.699870753,-1414939.5683497656,2326522.4723635777
