method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),552869.6711867951,0.8314576298749987,24711.984900823678,0.0,1346.4093989254907,4678.159281542932,11274.589119190583,-0.553616427059751,16195.480031121464,614214.8917531408,15130.69117989391,31377.543692005624,31348.553515478037
Sobol-CPI(100),552869.6711867951,0.8314576298749987,49861.27155161564,-4.610507795126131e-10,2258.864659551614,-2445.1020727320206,12019.756957059404,-3423.336418454955,10198.537998561318,564153.1511262574,-12011.539410398744,68232.70568803349,43316.178260476096
PFI,552869.6711867951,0.8314576298749987,65757.93204393773,439.6036182552343,78625.0460734989,7351.4505118649695,6272.626034858753,17408.790717216092,-1849.1486964179203,1732838.244581717,671483.6420297514,168527.04141334724,2461875.111370709
CFI,552869.6711867951,0.8314576298749987,92080.01840881642,0.0,4896.4621585152345,15083.926182575058,49396.56698109978,3250.069230049732,17414.243478868622,1326249.2273847568,173685.07825167966,61441.36514631705,101672.8867612764
cSAGEvf,552869.6711867951,0.8314576298749987,698102.3479970368,1052689.506969275,401774.1300654826,1821.662693144288,108701.27616370982,143265.02409471665,32761.773020955272,1087505.8654601336,-34393.28962903563,106179.4715048559,1972760.2753994802
scSAGEj,552869.6711867951,0.8314576298749987,49173.74333877303,0.0,1756.1996770005208,-456.1591514137108,8165.598262298154,-5585.247830762062,8379.707389339688,517051.4620589003,-20206.3635667871,63676.823715096456,39517.925306401565
mSAGEvf,552869.6711867951,0.8314576298749987,287206.9448540951,-15427.473158384208,-209053.85921894433,-52113.84810234513,-217063.9991461155,8861.946143219713,123695.73550383467,1017056.6250594114,-134182.9565213397,91520.63713935018,1851563.334310204
cSAGE,552869.6711867951,0.8314576298749987,293651.3090669437,595432.2595275614,107849.71504261861,9436.321329104601,7213.695484654795,12784.365756884828,89156.23389870969,783168.8874868902,-2354.0465815806333,60497.96943216219,854258.9707265971
mSAGE,552869.6711867951,0.8314576298749987,135322.70908436016,-608.6692984821738,-60622.567168016336,7075.035907112237,-1795.8722349301834,13767.696086187458,29692.33549187965,987911.5661363226,30474.510680979856,73632.77263030018,1596136.9740484823
LOCO,552869.6711867951,0.8314576298749987,-24029.01788637368,24302.565547531936,-14367.741350396187,-15398.142739766976,28450.998283820576,-43082.35336289689,6062.765562211047,137324.37651336775,-86867.12146078341,76379.84073953587,-72608.75134125055
LOCO-W,552869.6711867951,0.8314576298749987,143206.34141010942,96388.73136827581,-4990.761894765347,-54698.34142182641,53748.68716469097,51577.742140007635,92139.85252566196,244809.9404528909,-31952.64136467532,-9154.377599632508,69052.81397512268
LOCI,552869.6711867951,0.8314576298749987,1106301.2714059488,1025180.087038131,1003359.0146277393,20482.138150052633,-10987.135543207638,26175.80741335964,14259.502952951007,1208556.9080483878,-100210.53358673165,79713.77722206712,2401991.964177654
