method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),433146.3253727891,0.8782857650542146,33029.513789370685,0.0,1217.1337244898023,660.8594228741713,9044.832089625852,4845.015656377538,17430.261901105434,394500.08285051025,85867.6655034014,26299.650527550984,22643.825999574823
Sobol-CPI(100),433146.3253727891,0.8782857650542146,38917.15756586498,5.186821269516898e-10,-6136.73341619237,211.80375794964235,9682.45301606885,853.0078057791591,16206.102247362309,432406.2990005651,90220.56615724346,45216.794311144506,51955.14168606525
PFI,433146.3253727891,0.8782857650542146,107979.3264040816,383201.1792685374,149499.70751445595,1840.170006292581,10224.39628792525,307.9432428571745,166389.43893044215,986124.2329569729,209106.92640918383,52754.4229807824,1267054.5634668367
CFI,433146.3253727891,0.8782857650542146,40472.3818622448,0.0,-6755.411339966056,471.8676442177384,26831.292182653095,3442.09851768706,55607.22263469384,638828.6224471091,196675.86362006812,69652.31937738106,52156.35544574837
cSAGEvf,433146.3253727891,0.8782857650542146,653241.3840120691,844097.3693334889,475483.422928629,203257.28245955473,1684.4554376020096,-177375.12851766776,182986.73341914592,1509081.530604532,246072.90983979727,206619.92561018514,1958931.8805576146
scSAGEj,433146.3253727891,0.8782857650542146,37257.30286137835,0.0,-6287.83527360938,344.3925263969577,14584.18042875285,197.90387813263806,20199.778997139132,422884.878409106,81676.6407104861,41514.80212549504,55336.45995972288
mSAGEvf,433146.3253727891,0.8782857650542146,403061.688058116,511675.86550990073,379754.2947499822,-79333.74217849504,-84378.3918178333,-42520.91381504387,66632.78165320586,1165739.4658518084,165569.7933887071,21631.525291424245,1487231.2421721304
cSAGE,433146.3253727891,0.8782857650542146,245377.27812478217,632550.4637577165,211673.36441629363,5751.871443439252,7975.7689205671695,-196.64008532500156,153699.3159132125,773984.9505245166,161399.95062159217,99080.70729177761,921777.1544771546
mSAGE,433146.3253727891,0.8782857650542146,219326.23695816484,480062.5834389955,188716.01809753192,4644.515108233525,2545.8320651206514,10151.201051316215,118655.24671277606,896246.4803496775,161347.80720965145,87544.0903731593,1038483.53818751
LOCO,433146.3253727891,0.8782857650542146,-13081.623826700728,-17184.677837244933,4917.2334770408925,4953.814132313011,2777.276055612252,-833.7086811223999,13269.3579722789,80062.95112227893,70075.20966122451,13541.793276360608,15170.562931802706
LOCO-W,433146.3253727891,0.8782857650542146,-25353.274767002655,-42145.77702510183,-24751.265266593044,135216.6258803616,-67870.36118171352,68802.6258444521,120711.82028191914,-16619.08024325567,-13100.2047414755,104799.1384630695,70421.97411181506
LOCI,433146.3253727891,0.8782857650542146,1018065.5984198647,1021154.5116130593,1127659.4276820724,34540.428338699974,-89183.45184146892,40142.22167215869,410877.70625144895,941030.0504260403,-1667069.3377893227,-1177279.7353103482,2739264.127071417
