method,n_samples,mse,r2,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
Sobol-CPI(1),100,2.6476231167830875,0.6735711367627484,0.5140996599210093,1.0,0.9055039870100479,1.0,-0.02355854732290208,0.0,-0.0021138818389787595,0.0,0.6942286261310788,0.0,-0.051333837453628295,0.0,-0.0024909922963993747,0.0,0.02926952547187156,0.0,0.04568270247060302,0.0,-0.02755326516995482,0.0
Sobol-CPI(1),250,1.9197234999812887,0.7757379899711911,0.3860612277032882,1.0,1.4811085843095984,1.0,0.08686527011578926,0.0,-0.014546924103202574,0.0,0.5726858938637669,0.0,0.024402332174364605,0.0,0.009061699346980645,0.0,0.022940193575781476,0.0,0.04058407923748253,0.0,-0.025575710862156154,0.0
Sobol-CPI(1),500,1.9038921151447312,0.8164606548418383,0.45858480699335813,1.0,1.8299182595554502,1.0,-0.01661862774001821,0.0,0.00042534514888759034,0.0,0.5300021263851654,0.0,0.007832714990156142,0.0,0.0072870710382194614,0.0,0.05571578402343602,0.0,0.11162053285833806,0.0,-0.020163291610998835,0.0
Sobol-CPI(1),1000,1.3924802206231803,0.8519315558090748,0.40808324943582985,1.0,1.4999243169126126,1.0,-0.004378344802799861,0.0,0.008487645702206947,0.0,0.611155592428997,0.0,-0.007820772046252533,0.0,-0.0025973794882774293,0.0,0.10213243424368734,0.0,0.115324861744459,0.0,0.0034232466740627965,0.0
Sobol-CPI(1),2000,1.061181796501217,0.898565902314526,0.5693083298158037,1.0,1.5934763750025234,1.0,-0.002282324907166622,0.0,0.01183822315713079,0.0,0.9718925565275442,0.0,0.007248074473091726,0.0,0.006370364441456555,0.0,0.10990072611792279,0.0,0.14740009427417622,0.0,0.002400302689231304,0.0
Sobol-CPI(1),5000,0.8033808482657966,0.923792763570272,0.5475122754986161,1.0,1.8795815553990198,1.0,-0.0004378463826223977,0.0,0.0031720787386108618,0.0,0.8550960492991901,0.0,0.003973893960094732,0.0,-0.00025069833494673066,0.0,0.1632037428360565,0.0,0.16169039722592488,0.0,-0.0036317142847427375,0.0
Sobol-CPI(100),100,2.6476231167830875,0.6735711367627484,0.5071185300712133,1.0,1.66483342082761,1.0,0.061102464791518374,0.0,-0.0700946016967684,0.0,0.7595892324890913,0.0,-0.05046423533147291,0.0,0.010901716761440644,0.0,0.04729533761790185,0.0,0.06999725701482326,0.0,-0.1298535474805312,0.0
Sobol-CPI(100),250,1.9197234999812887,0.7757379899711911,0.5736145478144582,1.0,1.3454393525199435,1.0,0.010103333870527184,0.0,-0.09126968825456323,0.0,0.6795967245084501,0.0,0.024683651197074743,0.0,-0.008002806494618526,0.0,0.014889221781072822,0.0,0.0016409838234712072,0.0,-0.03908852034034803,0.0
Sobol-CPI(100),500,1.9038921151447312,0.8164606548418383,0.6423645614150842,1.0,1.8833403958947308,1.0,-0.0506914764345182,0.0,0.02532285642326378,0.0,0.857993421756882,0.0,-0.01506718778884934,0.0,0.005611960388069926,0.0,0.0728316868380903,0.0,0.13090023716326968,0.0,-0.03139247532948188,0.0
Sobol-CPI(100),1000,1.3924802206231803,0.8519315558090748,0.3991439601928875,1.0,1.4402752773102785,1.0,-0.02969710355763621,0.0,-0.049249366487832985,0.0,0.9411211013014836,0.0,-0.01680596697999645,0.0,-0.012954482341700359,0.0,0.1346200644060736,0.0,0.15803483722989803,0.0,-0.00256388997085233,0.0
Sobol-CPI(100),2000,1.061181796501217,0.898565902314526,0.5990204407497786,1.0,1.7776132639857216,1.0,-0.029674645215650542,0.0,0.00607042262888254,0.0,1.144490197226629,0.0,-0.003676069244175392,0.0,0.003956785908757114,0.0,0.1572886796289001,0.0,0.2472942139371885,0.0,0.0003951460999122652,0.0
Sobol-CPI(100),5000,0.8033808482657966,0.923792763570272,0.5995020444701977,1.0,1.9725367012861903,1.0,-0.012508501470071372,0.0,-0.0011753038603118436,0.0,1.0978782868137578,0.0,0.0036733720878265237,0.0,-0.001920693886224416,0.0,0.2129337451428519,0.0,0.2232182971983131,0.0,-0.009338326106057988,0.0
PFI,100,2.6476231167830875,0.6735711367627484,0.5005948146726324,1.0,3.5586234194572017,1.0,0.09341741395790981,0.0,0.06735394362471725,0.0,2.2363242936135217,0.0,0.03169980962902219,0.0,0.13371803468619037,0.0,0.12040378838611421,0.0,0.15724513838422816,0.0,-0.1459371788961552,0.0
PFI,250,1.9197234999812887,0.7757379899711911,1.6879496026056784,1.0,4.373185272116373,1.0,-0.04981537058921237,0.0,0.01932904846062189,0.0,0.8566663090600111,0.0,0.005816975165113369,0.0,0.07875324502735448,0.0,0.04527387978829589,0.0,0.053936191646515086,0.0,-0.049963209824040344,0.0
PFI,500,1.9038921151447312,0.8164606548418383,1.5705034211455395,1.0,5.440492032634558,1.0,-0.0001296313379537395,0.0,0.10776648128237798,0.0,1.3860536608520266,0.0,0.009709308183602605,0.0,0.03751119190794938,0.0,0.2057285734390344,0.0,0.22177356346268273,0.0,0.026642688312054963,0.0
PFI,1000,1.3924802206231803,0.8519315558090748,1.613798374210201,1.0,6.211425004649518,1.0,0.03198514712641409,0.0,0.01356833200921126,0.0,1.5743467596906242,0.0,0.03159850226157945,0.0,-0.0006608797189642246,0.0,0.2627216943949593,0.0,0.2927833108651723,0.0,0.018634048329482233,0.0
