method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),413662.0004937075,0.8789757477507661,19835.37018869046,0.0,608.9863795918063,-2038.9030200680427,6041.050480867329,3623.792907738127,75604.02558129246,345963.54598818027,83571.53709685378,48457.33649659858,21514.2787386055
Sobol-CPI(100),413662.0004937075,0.8789757477507661,39821.569715672355,-1.7289404231722992e-10,4219.3181803062125,-5973.257682075849,13580.227484929232,-2402.9346382954286,26344.363356016096,457574.9307688819,116391.046988894,56042.94615501853,34945.68129779343
PFI,413662.0004937075,0.8789757477507661,192103.91540510207,324837.8109821429,72596.30985153059,-5227.464620918443,19067.250913265336,10210.974968367373,146784.24639115646,1110704.1716920068,189142.94563112245,68508.80989421753,1117923.9695836734
CFI,413662.0004937075,0.8789757477507661,72194.7032215987,0.0,3794.884752891143,-6514.881600170105,19639.27016547619,-3225.1631520408555,104231.31244880956,764140.5408564626,201652.5036270409,36109.16002278903,57047.12835629255
cSAGEvf,413662.0004937075,0.8789757477507661,551383.6409644899,911739.4788033366,553748.5412130808,77652.96230099536,-241728.3227631194,121005.39324908471,358005.8761591031,1356896.911195749,184339.71831405256,279950.2763190046,1903070.589927331
scSAGEj,413662.0004937075,0.8789757477507661,47019.02938134334,0.0,2873.1152497945586,-5818.611754221609,12681.796376349754,-3438.299905522552,25061.412448496732,449143.82431518706,123311.73583456058,53382.24015875667,33580.38103607984
mSAGEvf,413662.0004937075,0.8789757477507661,411612.8761873441,612160.4734339169,252179.40845953018,244076.62289937728,40689.72567592841,-80207.4487513178,68008.05712925037,1161891.950775398,-39668.71771183144,31883.93445711676,1410597.2596921192
cSAGE,413662.0004937075,0.8789757477507661,244375.17415631303,573069.3194294823,216107.76186806973,-1526.2424184446252,14914.19854608244,2861.850898780847,145060.99679676283,776803.9384954768,166796.5342201814,107852.31997190748,854320.330588331
mSAGE,413662.0004937075,0.8789757477507661,237872.620306175,404812.5471188286,135849.93401367706,-3098.5000679734603,16299.817071703003,4124.124651597574,130594.06638764107,896091.4202302556,150548.2633571638,86297.43630770082,1036707.5023902619
LOCO,413662.0004937075,0.8789757477507661,20110.240569897986,12695.470515603723,15793.162179251725,5140.244863435393,32859.31373911566,21025.347311054415,61493.30116241501,83951.02985000005,104378.66679302714,41900.48838316329,50201.61869931972
LOCO-W,413662.0004937075,0.8789757477507661,-1695.9466319171347,70673.30597794925,-57042.071866964805,-12925.933264302334,21580.318328138917,1981.6031319578158,8165.79874225173,99931.32811825955,154107.58702082533,13871.74506411971,-39764.693196090215
LOCI,413662.0004937075,0.8789757477507661,918689.4748512274,885794.820549224,1061672.6424700795,-14825.878322001081,-64405.287542800885,16126.3417957942,464036.75658355607,906134.2021034965,-499901.92053344613,-1226519.6037811805,2705801.634588874
