method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),416737.7170469609,0.8818353209946526,4021.214960954938,0.0,499.00455102024716,-1917.7930898736813,11226.328508780833,3584.976468738285,18773.014890013495,674011.462050655,115148.11933165693,116458.47552206999,1333.2119828946597
Sobol-CPI(100),416737.7170469609,0.8818353209946526,2199.780610139369,1.1526269487815328e-10,-4.711746991644291,-14400.614741439458,14191.217294588598,5214.418048993454,24552.58203678497,454793.91343536664,186744.8308832838,155294.70858719602,6376.7852389499185
PFI,416737.7170469609,0.8818353209946526,46010.34084097098,88.60249225201551,17999.68850809621,-18733.24061688519,56807.147738312895,12635.66315599921,54814.52464190964,2010195.1947374952,441780.4599399659,283959.6070660592,2370201.128127226
CFI,416737.7170469609,0.8818353209946526,4785.439896419761,0.0,450.85433481255313,-15278.32584822207,8898.48279211676,5279.625767862948,31462.828727174438,1186297.0827838257,315441.4208049322,195489.76608483325,21747.72355169186
cSAGEvf,416737.7170469609,0.8818353209946526,668395.9645286901,1292398.7011291995,432392.49359073024,144401.4892612882,-190115.42521499377,2583.832389248535,561843.515626845,1316765.1824574969,122023.20497779548,451700.3566057361,2132154.9065118153
scSAGEj,416737.7170469609,0.8818353209946526,4303.7884199602995,0.0,-247.02533855097136,-15260.940512763571,6781.72247208294,4079.4749014925333,27102.987211100757,493239.26483592804,170670.842439663,156729.4174463409,6805.7626151528675
mSAGEvf,416737.7170469609,0.8818353209946526,219332.20854884293,14871.280012626201,-388245.0907587167,-101193.2011476825,-280519.74449310545,-264828.09613641445,181385.44712319085,1288456.2770640436,105683.93070554547,119069.201681918,2036641.1815749053
cSAGE,416737.7170469609,0.8818353209946526,188105.4354099174,637898.1271560901,151145.6789326285,-5298.677694979033,-3264.125393165823,2257.3017105885033,183891.99271378355,744667.3721661437,216747.78298394062,198018.11414046495,869957.4470990706
mSAGE,416737.7170469609,0.8818353209946526,82835.90373813662,689.2153495446227,-88698.18937305373,-3553.558416251031,-9098.622851599615,1366.2202362298854,77123.83294371453,971364.9074961457,258714.1840416531,209384.4649326571,1681791.4622843773
LOCO,416737.7170469609,0.8818353209946526,1757.1734463562025,-1633.0969717452535,-25208.548930037126,-12141.374694571714,-3026.09650438471,1485.8044395547477,22829.119927153864,-26868.686578738736,25049.7034605777,74539.71503334132,41574.813898583874
LOCO-W,416737.7170469609,0.8818353209946526,51737.045297647084,-4668.2536597650505,67536.42053204586,-18415.312551463914,37835.5911681943,184427.31250109265,-7823.115358257412,269917.23167467845,34214.113703881136,-10339.346229403212,74733.00124571736
LOCI,416737.7170469609,0.8818353209946526,1257028.6361125335,1282766.4306647438,1185936.0430579768,-6118.383833645843,-59285.50121694198,-22073.769282638095,558415.8707877649,1301207.0700018178,228620.07364021195,295236.4827927649,2775082.4058141876
