method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),419681.23454298626,0.8978571946063086,16567.318622146675,0.0,-847.0539393169456,10162.131300751294,24084.858574340382,3001.5219897040806,40211.874772619136,670724.2223347109,122487.45832663245,53279.16382564447,43218.81278555322
Sobol-CPI(100),419681.23454298626,0.8978571946063086,21129.228888674104,4.034194320735365e-10,-740.2422554102279,19758.735707209624,26310.302924060335,6992.432580552626,22329.810804682023,758453.0621978183,75221.03114034134,103543.10601022391,52154.27233279322
PFI,419681.23454298626,0.8978571946063086,52840.703571609396,-28.446004737226758,58317.06784015073,14641.630345403566,30507.90680511197,18788.828478170966,44606.16537073592,1553147.5012622233,310607.8776466568,206906.06734434317,2220498.350143763
CFI,419681.23454298626,0.8978571946063086,26019.75847315666,0.0,-1938.5020665872144,19929.440435493132,47342.187390970415,8263.313680385007,49136.85128758219,1109205.2225020602,207608.40692213306,93130.87291821605,101156.50993085362
cSAGEvf,419681.23454298626,0.8978571946063086,700893.477331528,1851905.692503788,381315.9967910284,-158487.2765672272,104390.98131375667,-104482.81384185795,333976.5288060885,1539315.0581399598,266934.1424445105,127239.48346586153,2643432.3852260215
scSAGEj,419681.23454298626,0.8978571946063086,19452.352360055957,0.0,-888.0631498665898,19532.555814506894,29744.214685614334,4564.579085825651,31193.872571761607,733108.501887625,78707.98450277769,87626.60014213377,52870.198575739225
mSAGEvf,419681.23454298626,0.8978571946063086,55390.09409142658,-79759.12365205586,75522.91837365273,14104.512123032473,-40885.61631290428,87375.29721450759,217884.37178550102,1594087.0433580503,259323.0014893874,210588.6341914381,2853043.361665294
cSAGE,419681.23454298626,0.8978571946063086,254170.88731269247,867866.9625809351,142999.22305726883,6692.05641567126,11415.92531926511,-6157.014695102592,167222.07590455672,987448.8998601594,104103.97755466425,108032.51677387989,1130143.464468968
mSAGE,419681.23454298626,0.8978571946063086,116402.50747359784,-272.12069658283224,-32025.55776332505,10419.590419341666,17337.60965580783,4547.310298106394,76928.09886016838,1227460.5703090809,160551.78019018436,133526.59466660905,2060249.8465739186
LOCO,419681.23454298626,0.8978571946063086,20000.13746468426,-20159.57555083616,1363.6820345058804,-5101.358805348049,34922.08601390186,-11533.400854699139,18323.313879662543,88738.54085127747,-47590.803389354085,44338.95164572075,-5884.065544440411
LOCO-W,419681.23454298626,0.8978571946063086,-886.3891023618883,40949.83253902721,71030.84658450083,-72297.84561260568,-110541.36142065354,-1285.465427531096,149652.1506413596,16523.029537959243,127410.54735087328,8185.7285151373835,-76276.00632151919
LOCI,419681.23454298626,0.8978571946063086,1272680.7484620786,1850990.274134926,1599121.3139512846,4027.66768653132,-2393.217389923986,-34272.23448178079,362495.56334676873,1741928.309775664,220149.9442441389,180671.09237284586,3403920.335860867
