method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),310704.4443073129,0.9104983181691257,17108.346299999976,0.0,553.5535986394389,1731.632003656443,-1806.3796198979544,2240.3090034863853,25534.542453061236,490358.9820701531,79776.80845816332,15154.180778741516,22004.790800935414
Sobol-CPI(100),310704.4443073129,0.9104983181691257,23864.260449084468,-1.1526269487815328e-10,-1612.7670025986638,2939.766299797828,4493.014654390212,2981.5629580055274,16510.559413170828,416926.62789650477,119346.56733227687,19415.96918290488,64555.4004447933
PFI,310704.4443073129,0.9104983181691257,118691.53514421772,227808.49497551023,66741.25396683678,3384.8399947278667,19106.827941496565,5710.273289966048,97491.66603265319,944161.4889107146,246198.05343945572,59521.525930952455,1184463.5326739796
CFI,310704.4443073129,0.9104983181691257,32987.38729982992,0.0,-3221.111101360584,2524.5603059523273,5634.535743027227,3234.352728911559,65049.66834914963,792440.298401871,205287.0299234694,26596.19302789116,100354.14363418374
cSAGEvf,310704.4443073129,0.9104983181691257,810647.2915179017,1109887.3987258957,587757.0778952143,264781.4191232361,197627.84977380466,-35375.115187104326,274264.65311641153,1552636.6258519439,175861.13819772098,184353.44711362617,2181956.3624287536
scSAGEj,310704.4443073129,0.9104983181691257,25109.755734401,0.0,-1968.2164500029176,2296.145765077672,6587.409607887035,3219.536189792736,20724.512021441013,409302.47366809036,126613.26098224409,15946.929212330666,68729.28538087709
mSAGEvf,310704.4443073129,0.9104983181691257,311026.40881548356,597343.1673821998,93248.8613972771,-157885.75696410332,-89963.76376726571,72451.09457521606,26019.084796794225,1410250.9519438134,417235.1389116263,174520.7971653412,1697434.1074455895
cSAGE,310704.4443073129,0.9104983181691257,295191.51796632947,584457.0722196664,225609.51786893606,9004.19261737677,18550.025564814594,8688.690524056707,158779.84886157268,809543.3322837042,172188.09023956425,27710.466098463316,961049.6377558635
mSAGE,310704.4443073129,0.9104983181691257,254520.44799866813,375143.7404113311,126424.51977822026,6263.620773355626,13520.564578334246,6240.405176673513,113078.38510396003,957626.4211502873,182966.65709647926,32914.47837652348,1203218.4376069866
LOCO,310704.4443073129,0.9104983181691257,2434.7126576530864,25684.57801530615,8214.798900340218,10922.535852551053,9239.609774659912,10551.035505102074,-294.005227891088,148568.21867312927,127157.7329639456,12320.7917913266,18816.44212704082
LOCO-W,310704.4443073129,0.9104983181691257,36130.99092847162,42131.19096053708,24278.568871976902,37846.25409107514,30119.867662612523,104802.21315491963,-7838.695053638607,61507.67169269322,-86703.6151190891,24591.79686217272,-14156.964411493309
LOCI,310704.4443073129,0.9104983181691257,1104747.068458099,1035472.4890540005,1237206.5567396777,47574.35783767747,20011.051198347006,33853.77957668807,311640.01106180716,875914.3752941969,-1053706.5809202138,-1220943.3199637886,2818653.2400223897
