method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),500544.7119035715,0.8592669584882594,32425.38871717686,0.0,2710.713640306116,4362.931440561195,6468.201560629212,3268.9054960884096,26882.594136054395,512344.5179539115,42598.781974744925,44656.364776530594,24842.078766241437
Sobol-CPI(100),500544.7119035715,0.8592669584882594,69631.48176601816,5.763134743907664e-11,-719.2771242551695,-5038.3583569184575,10302.869663082667,4068.402542624597,-689.8148674599706,494623.46469796845,119666.02698460034,49470.076705990956,44446.47145712723
PFI,500544.7119035715,0.8592669584882594,204482.2220816326,203691.82481445582,82437.8046054421,-5921.839954251773,27304.582079251646,2512.2632042515907,89006.7292188775,1265604.228428401,190542.54425068013,42805.75526989787,1095000.2215445577
CFI,500544.7119035715,0.8592669584882594,67093.62012738083,0.0,1912.9477180272806,-6387.122416836675,26472.180362755083,14926.634152720973,11696.249255271978,572240.6433782311,81549.82879625831,87033.4095806122,58535.50409404759
cSAGEvf,500544.7119035715,0.8592669584882594,785914.3445575172,712707.4825521032,666889.1219325894,113866.03601202881,258633.77857902736,-216083.48333966685,338099.00886901235,1307757.972430389,403118.91197932325,254679.89183352096,1893921.5591917054
scSAGEj,500544.7119035715,0.8592669584882594,72652.59719191096,0.0,-952.0459808257292,-5937.620861435775,12023.199065091845,3668.2859194042394,328.14916750218254,495586.8302981942,113646.96879186295,40563.94737244537,46451.08389844489
mSAGEvf,500544.7119035715,0.8592669584882594,386414.26525677135,642908.8560998016,362328.57797429897,-38551.608746411745,53266.19926779298,156900.20571179502,163813.16062747873,1167405.3854856323,340221.86980609177,-163576.9639592357,1410645.1649513212
cSAGE,500544.7119035715,0.8592669584882594,341142.0217148193,493129.8448733085,272204.7777770616,-3597.4685485063956,18505.732295918242,8268.67716001563,115947.86758291123,795648.350013025,186287.6641858018,56999.10733376555,851017.6300763463
mSAGE,500544.7119035715,0.8592669584882594,272930.8933095388,390979.5904492029,192103.87426171007,-3518.9711009998537,17986.563274009426,5573.457418462979,106048.45311425166,875490.6176579619,182958.0709331535,47380.44920328769,1045371.6761203737
LOCO,500544.7119035715,0.8592669584882594,-33546.551747108926,7607.24668061221,3610.6031069727032,2338.7613093536347,16153.395491836593,14495.029352550977,18663.597836224362,163273.2193396258,100259.22753486387,22791.37916496594,-9820.808453741542
LOCO-W,500544.7119035715,0.8592669584882594,-97728.76968880763,130162.31731081154,126266.01313599109,-3529.3904793319443,36839.07435223561,42099.48137452324,44306.51913652527,336815.7905172748,41090.55930762495,62502.17602412259,147454.5201628189
LOCI,500544.7119035715,0.8592669584882594,1295391.1107566399,717162.7059120163,1282551.6593154883,-86593.99666096689,30541.915440154262,-9350.56167225074,286356.506093706,843743.9693455012,-1095892.4996853326,-1633917.9006603449,2706171.2336198636
