method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),395224.6284189985,0.8970621671027764,15949.709628626006,0.0,-1640.1881236361805,12077.736442555964,-3527.1320036384277,1773.3664755067439,16658.31105159293,807216.1888303761,118066.53858981325,61244.05340373382,34578.9555647682
Sobol-CPI(100),395224.6284189985,0.8970621671027764,18253.41138297693,-1.2678896436596862e-09,-2131.4077622524583,18233.586873330343,5375.351856821009,5021.416001161618,14214.374153790211,674114.329443319,75538.3302220609,56219.130309224754,23315.883530275885
PFI,395224.6284189985,0.8970621671027764,49082.85143086349,-258.10869178629946,148265.8772657095,28604.974397182406,27199.00691892102,16003.803735475,46841.785771103285,1798051.800518207,419606.42332737293,148245.41040719656,2786184.3003192577
CFI,395224.6284189985,0.8970621671027764,21620.27000373433,0.0,-943.7447959926212,23127.33966239798,26364.601369751734,154.6920219124877,55799.487024822505,1338488.1322490668,231711.4886300073,99790.51827295171,28510.100467877986
cSAGEvf,395224.6284189985,0.8970621671027764,725277.1199539462,919864.531036648,205227.31697141053,-30808.20252145315,227519.70485319197,-29077.550332523413,670921.6630521081,1719613.0875525903,382168.2228024062,249494.26803322558,2033422.303322181
scSAGEj,395224.6284189985,0.8970621671027764,16947.14832060685,0.0,-2272.807185603422,19764.56892920856,7801.517883610446,2598.128026627004,18891.87884851033,654700.7885256901,79792.9493667495,67648.61881363438,36196.74338555819
mSAGEvf,395224.6284189985,0.8970621671027764,278017.73787790025,217834.64596842136,-476056.73374239024,50110.90300733363,48292.20816662442,25827.929137974977,118762.46333198901,1653127.9455805505,312819.7724789423,83868.61821128568,2116457.599333791
cSAGE,395224.6284189985,0.8970621671027764,299924.27306087944,564926.659428801,89213.208581244,24490.1361171707,27707.415368102233,15241.918857831603,238194.6971777248,1099892.806879575,203597.49740845792,129827.63156538467,887159.5483654726
mSAGE,395224.6284189985,0.8970621671027764,128475.515923032,-600.3626918250604,-211859.4443966946,11082.43907467768,13087.459759067573,17270.42414196747,132998.75825833873,1369235.5402946745,278108.99006420973,142562.1004996081,1700974.54651282
LOCO,395224.6284189985,0.8970621671027764,10899.63308934262,-815.8138246330782,15831.048574408225,20389.701683083083,20464.254085934546,-2507.767837343854,41710.94794361439,168766.89865545888,28960.274848875822,12914.809551234124,40364.46450086421
LOCO-W,395224.6284189985,0.8970621671027764,-5062.471278188445,48920.05430232302,14635.21003641614,-100812.47746151763,-12802.485982774713,103433.51204024888,70097.36992845644,213229.385567853,56089.846098068934,11890.773007525419,99456.06720977943
LOCI,395224.6284189985,0.8970621671027764,1285066.9111170392,966096.0286075119,1494365.9090150013,4753.574816011358,-24295.139373037964,26201.8007225357,611811.5897054845,1711180.7914819107,209576.76017237687,438639.3519521821,3046023.095218971
