method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),510847.2305619048,0.8574737979717904,43175.708228571486,0.0,-3000.2839122449222,2638.9566384353675,7438.099108503346,-17.51704591838643,30608.970524149627,457812.5921782312,98679.12095374145,37538.500134693895,21742.507044897968
Sobol-CPI(100),510847.2305619048,0.8574737979717904,70663.80725141855,1.7289404231722992e-10,-3761.4960453790004,1725.5504853614275,12511.253161578137,-90.206111705341,-3419.6595718673234,449414.99682965514,45366.1229038939,25461.588472907726,39827.08069842561
PFI,510847.2305619048,0.8574737979717904,107723.36990340141,262185.39857074834,73491.09813469386,1138.6029700679355,33344.071765986446,16708.691212925187,107084.19925578235,883789.1440619046,161089.373087755,28181.6024707483,1063527.1721761902
CFI,510847.2305619048,0.8574737979717904,77845.87296190468,0.0,-4578.68202040816,1796.3164013605565,9004.191391156404,2045.0731231292011,60483.75423945574,698862.0089414965,152991.37891632662,24925.39294081618,61633.12593197281
cSAGEvf,510847.2305619048,0.8574737979717904,826367.1841210192,858246.1217666119,563173.5735531445,177535.5273237615,-26901.378055443056,86813.13769771857,164545.47411369346,1558409.9579426646,-99064.87973475456,108930.26789237047,1922769.9610377573
scSAGEj,510847.2305619048,0.8574737979717904,77081.60755510797,0.0,-3772.7937057028757,1488.7200006975909,13292.945329220674,739.495827789593,-11398.821475651697,409084.2461709199,52696.47128564335,27883.912981694273,38575.79004247923
mSAGEvf,510847.2305619048,0.8574737979717904,469594.12897761166,647624.9617870245,106249.96438315231,-65484.60088609718,23314.08179844357,27212.773385568056,-99115.5044683069,1195132.2972898474,122473.4153172653,129876.09950545988,1571975.6844177702
cSAGE,510847.2305619048,0.8574737979717904,346761.11979856866,544562.3714211272,241860.49047558452,12280.209230159282,17329.806565726394,13064.241182921953,134052.507993954,816855.7901289843,132026.06949951308,43779.52627022597,847170.9007742594
mSAGE,510847.2305619048,0.8574737979717904,255029.25222715084,459275.16446950834,167526.6552989676,5288.611317596916,13254.875475846768,11660.623193426743,106947.04405515853,942985.0013936124,153638.0812702997,42888.569464826396,987487.4553657604
LOCO,510847.2305619048,0.8574737979717904,25606.28816870734,-12464.678917687153,-12520.614318367385,-18246.694983673573,-1975.3917755102739,-17045.619636734657,-15220.978978911531,143722.89276122447,63446.08659115649,-35621.02381700685,-71.87987380946288
LOCO-W,510847.2305619048,0.8574737979717904,16812.72707479915,-13447.803330061884,-30957.840347045818,18021.0780164111,38738.779768118795,-19783.27317725731,-109063.2338844545,242187.76041853824,-59452.50150428472,-398.72183707694694,82008.85725624741
LOCI,510847.2305619048,0.8574737979717904,1010541.8121039197,882014.9314603275,1198256.8204238173,43230.48831506586,-62921.98297515325,16554.836247486528,326001.8745586686,1079042.1700989092,-1082374.421676355,-1653476.902611109,2715672.1298853424
