method,n_samples,mse,r2,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
Sobol-CPI(1),100,2.231985649572724,0.703035690300886,0.638082863735163,1.0,0.873382614468809,1.0,0.039450152459747034,0.0,0.006245269463065695,0.0,0.25836005999124323,0.0,0.030588715504982655,0.0,0.0045565573471022525,0.0,-0.027554770650557447,0.0,0.07360169628863167,0.0,0.007306144376377999,0.0
Sobol-CPI(1),250,3.329204910283965,0.7021664699415431,1.3293539786203403,1.0,1.060314790244396,1.0,-0.12885498449027133,0.0,-0.020571612869409117,0.0,0.7741177453495156,0.0,0.07644776751055993,0.0,-0.03452711814954301,0.0,0.004775625134880279,0.0,0.054717546740651324,0.0,0.0209756303456321,0.0
Sobol-CPI(1),500,2.0120045507791287,0.811569836509216,0.7587698728219132,1.0,1.393359574844075,1.0,-0.05037471269221527,0.0,0.000485079441213232,0.0,0.53346299782874,0.0,0.017887153876000816,0.0,0.03455741462758377,0.0,0.0812338921456428,0.0,0.13242340489554216,0.0,0.006213340502049691,0.0
Sobol-CPI(1),1000,1.295965673327525,0.8718787999415927,0.7280845503539304,1.0,1.3665278764545525,1.0,0.0331848427123147,0.0,-0.02388539396074707,0.0,0.9008435234170575,0.0,0.008642406644333467,0.0,0.007501225041328219,0.0,0.14769405283346493,0.0,0.1278504503443274,0.0,-0.007313126841316464,0.0
Sobol-CPI(1),2000,0.9791428203888017,0.8979532490122746,0.6520139461803571,1.0,1.2706190870696896,1.0,-0.006397658968988529,0.0,-0.005694799703169162,0.0,0.6130555221220537,0.0,0.0010021000220704623,0.0,0.0014732454131385908,0.0,0.12659540880570208,0.0,0.11053270590860087,0.0,-0.0013690060507196011,0.0
Sobol-CPI(1),5000,0.7177383981128537,0.931249009134485,0.691776606466129,1.0,1.7209753081901318,1.0,-0.009176113300196131,0.0,0.007397851478023798,0.0,0.8986417729162963,0.0,0.00583951211036382,0.0,-0.0009645360272166337,0.0,0.16110182270547208,0.0,0.16740034267998422,0.0,0.0008093845943780709,0.0
Sobol-CPI(100),100,2.231985649572724,0.703035690300886,0.9730727841827407,1.0,1.1643628197200424,1.0,0.009771191334135886,0.0,0.01173393444025204,0.0,0.3385518017517559,0.0,0.06848294011570846,0.0,0.05518281210572166,0.0,-0.1051359874954269,0.0,0.13701629414782515,0.0,0.0009112494133098364,0.0
Sobol-CPI(100),250,3.329204910283965,0.7021664699415431,1.1392989261575848,1.0,1.6236109991644319,1.0,-0.3329764714839235,0.0,-0.0036104147279317402,0.0,0.810332716214953,0.0,-0.0010422960146461817,0.0,-0.008985181577358838,0.0,0.008749744945766875,0.0,0.11075964238590859,0.0,0.037962633593692986,0.0
Sobol-CPI(100),500,2.0120045507791287,0.811569836509216,0.9476373316438605,1.0,1.4089254264252515,1.0,-0.11594888494688853,0.0,-0.039049878571308906,0.0,0.9059964557663932,0.0,0.014825130468922953,0.0,-0.014724322235540294,0.0,0.055345606018049755,0.0,0.15887480830245052,0.0,0.013353756998877881,0.0
Sobol-CPI(100),1000,1.295965673327525,0.8718787999415927,0.7606939152270289,1.0,1.4863792575653116,1.0,-0.0014494408209233401,0.0,-0.028662282472603263,0.0,1.0743879337595483,0.0,0.004074371796281007,0.0,0.012031862867797151,0.0,0.17802637360981646,0.0,0.17768360146549203,0.0,-0.014808693554261034,0.0
Sobol-CPI(100),2000,0.9791428203888017,0.8979532490122746,0.6963813394452619,1.0,1.5414551974867732,1.0,-0.02960833548595024,0.0,-0.013095768973751932,0.0,0.8320425054794676,0.0,-0.014699170994400244,0.0,-0.00395256934842212,0.0,0.18107914745118542,0.0,0.1670326911966741,0.0,-0.005014222250201296,0.0
Sobol-CPI(100),5000,0.7177383981128537,0.931249009134485,0.738357614591592,1.0,1.7080765861397635,1.0,-0.031529869882190587,0.0,-0.0027037104132212587,0.0,1.096143327315749,0.0,-0.002255713316989596,0.0,-0.0029520076649002477,0.0,0.24749650116260566,0.0,0.2174412512226744,0.0,-0.0008034141201786784,0.0
PFI,100,2.231985649572724,0.703035690300886,1.7108631999637924,1.0,3.1003355574655562,1.0,0.23968819670149344,0.0,-0.013623718452493438,0.0,0.4895832056417486,0.0,0.07932412724152815,0.0,0.08092994538791887,0.0,0.012376875272986698,0.0,0.20880514329634536,0.0,0.07026796979455474,0.0
PFI,250,3.329204910283965,0.7021664699415431,3.7028113885331972,1.0,6.312502033949626,1.0,-0.17619482413268095,0.0,0.0700902088308708,0.0,1.353058136349293,0.0,0.06677926236476095,0.0,-0.07737211696619051,0.0,-0.015362103280486483,0.0,0.23322526476927938,0.0,0.06728465487841628,0.0
PFI,500,2.0120045507791287,0.811569836509216,2.6500642876209475,1.0,4.112654351502423,1.0,-0.025330611626075195,0.0,0.11296992452981323,0.0,1.4021658689984116,0.0,0.10540380562878049,0.0,0.04993739716554346,0.0,0.4797681798603062,0.0,0.5022382199424782,0.0,0.06754286025473899,0.0
PFI,1000,1.295965673327525,0.8718787999415927,2.3475885412048227,1.0,5.9496395057874025,1.0,0.08244156884937492,0.0,0.10058213353039025,0.0,2.06406218991444,0.0,0.06373240872355579,0.0,0.052481509755093025,0.0,0.4943289983074617,0.0,0.5435947301424657,0.0,0.061705786748200486,0.0
PFI,2000,0.9791428203888017,0.8979532490122746,1.9895726810903773,1.0,5.737101678194725,1.0,0.07649664836649861,0.0,0.045343732881286236,0.0,1.7242431436271117,0.0,0.011427458834351922,0.0,0.02568341506289462,0.0,0.5038747399855112,0.0,0.45749051099932037,0.0,0.020298659452554157,0.0
PFI,5000,0.7177383981128537,0.931249009134485,2.07346859819586,1.0,6.313769585236513,1.0,0.08813820147707163,0.0,0.05477684217126222,0.0,2.283660869219497,0.0,0.04003688635179714,0.0,0.03576280889197725,0.0,0.6038827789574194,0.0,0.5711530123699325,0.0,0.03072368176722784,0.0
CFI,100,2.231985649572724,0.703035690300886,1.4356771268299924,1.0,1.6418202511358535,1.0,0.15095158755331317,0.0,-0.06021556066349376,0.0,0.3380859222602192,0.0,0.059317329028031995,0.0,-0.015971956676948285,0.0,-0.1931528544107679,0.0,0.1752099506523197,0.0,0.05053487446834248,0.0
CFI,250,3.329204910283965,0.7021664699415431,1.342171083623287,1.0,2.2680328804981067,1.0,-0.17666703077412294,0.0,0.03113961841728008,0.0,1.2096994744456624,0.0,0.005366394576754363,0.0,0.0212570702668593,0.0,0.034132749586291755,0.0,0.05949893929121686,0.0,0.004296296168586178,0.0
CFI,500,2.0120045507791287,0.811569836509216,1.4288580791096614,1.0,2.6841817271235304,1.0,-0.0671688818107874,0.0,-0.03940418642999277,0.0,1.5031408914086914,0.0,0.038504849159841203,0.0,-0.005078365435752463,0.0,0.17208572539859368,0.0,0.02988087167130571,0.0,-0.0042118213933415305,0.0
CFI,1000,1.295965673327525,0.8718787999415927,1.4994643311844533,1.0,2.683506740866081,1.0,-0.014989729237729454,0.0,0.005669578300360634,0.0,1.5708362857512372,0.0,0.0012995942591242926,0.0,0.021084447242213367,0.0,0.2826333564034247,0.0,0.24083904399878645,0.0,0.004743677085701448,0.0
CFI,2000,0.9791428203888017,0.8979532490122746,1.282014533312553,1.0,3.2130691608470485,1.0,-0.033250233030006515,0.0,0.0008681627041972062,0.0,1.3806719054408498,0.0,-0.010760803782363437,0.0,0.009900541333820456,0.0,0.2739251142219692,0.0,0.19390895595423063,0.0,-0.016919051028255527,0.0
CFI,5000,0.7177383981128537,0.931249009134485,1.264553624630159,1.0,3.2734619658149855,1.0,-0.015494783155537317,0.0,0.0013172875784724924,0.0,1.7645642304254485,0.0,0.010992778394633638,0.0,-0.0022330158545748047,0.0,0.3093740330671896,0.0,0.33320751387915915,0.0,0.0004145866277490695,0.0
cSAGEvf,100,2.231985649572724,0.703035690300886,3.195951266831777,1.0,4.589277937186825,1.0,1.6238335792730487,0.0,0.9598127232884944,0.0,0.00359385138890822,0.0,-0.6405787275246898,0.0,0.21655116069090763,0.0,-0.47254243981802535,0.0,0.053511325431963463,0.0,0.5131218750632893,0.0
cSAGEvf,250,3.329204910283965,0.7021664699415431,5.606794202796571,1.0,5.316228194902066,1.0,0.21673669501443452,0.0,-0.028244366340466343,0.0,0.38148642296438595,0.0,0.028053845912367592,0.0,-1.459491955271547,0.0,-0.5431586610728267,0.0,1.148900291820107,0.0,0.4579545253139408,0.0
cSAGEvf,500,2.0120045507791287,0.811569836509216,5.627379722444856,1.0,5.723837403486659,1.0,1.2014988326093015,0.0,0.6675782904542693,0.0,1.8922016845421066,0.0,-0.5960156533915093,0.0,0.1314016030378813,0.0,0.3526211907460617,0.0,0.03855333721073073,0.0,0.7747814068887102,0.0
cSAGEvf,1000,1.295965673327525,0.8718787999415927,4.674393015155689,1.0,5.88087978985006,1.0,2.2948098345149273,0.0,1.411740389429978,0.0,1.7633736338222157,0.0,0.4504576156265667,0.0,-0.13585001333698443,0.0,0.07498438301097643,0.0,0.38038792972191793,0.0,0.3701868840789668,0.0
cSAGEvf,2000,0.9791428203888017,0.8979532490122746,4.593040714542097,1.0,6.088749196574054,1.0,1.9280425753057042,0.0,0.9287460926676978,0.0,1.4819214490356192,0.0,0.47385124640641685,0.0,0.07235600577081414,0.0,0.7050361212871508,0.0,0.5308547731219999,0.0,-0.05249356836994146,0.0
cSAGEvf,5000,0.7177383981128537,0.931249009134485,5.480772298194576,1.0,6.673271881788086,1.0,2.216147287555769,0.0,1.441255230950519,0.0,1.9734703323189624,0.0,0.35956446458217955,0.0,0.20275619751146046,0.0,0.4159308896081928,0.0,0.5216357595177179,0.0,0.0015712317529228415,0.0
scSAGEj,100,2.231985649572724,0.703035690300886,0.8858136413418403,1.0,1.1312320565613048,1.0,-0.01914804485103483,0.0,0.013311604252674858,0.0,0.29620901904052793,0.0,0.06695529286266577,0.0,0.04674854922505256,0.0,-0.13899284409409596,0.0,0.12773578845636457,0.0,-0.002585513004357054,0.0
scSAGEj,250,3.329204910283965,0.7021664699415431,1.1466142996622177,1.0,1.6306248542162236,1.0,-0.3263514039217017,0.0,-0.0214913474987668,0.0,0.7682729020567884,0.0,0.019455194647267415,0.0,-0.005846725295512112,0.0,-0.022929478940894477,0.0,0.11634778319407024,0.0,0.018175256475872814,0.0
scSAGEj,500,2.0120045507791287,0.811569836509216,0.8695056894467488,1.0,1.447642506342556,1.0,-0.11829521684006551,0.0,-0.039161418558317784,0.0,0.9249516637351282,0.0,0.013142332157470626,0.0,-0.01604713799294255,0.0,0.065958234684385,0.0,0.16233535859453863,0.0,0.011433470278789049,0.0
scSAGEj,1000,1.295965673327525,0.8718787999415927,0.7590842551288914,1.0,1.510155074379472,1.0,-0.003110513464059217,0.0,-0.030104541245991486,0.0,1.0728419184712736,0.0,-0.00025736434424805665,0.0,0.010725184026868506,0.0,0.17358891815006472,0.0,0.18293865233913098,0.0,-0.012252326787457468,0.0
scSAGEj,2000,0.9791428203888017,0.8979532490122746,0.7020935817025213,1.0,1.5533065220546676,1.0,-0.02867070840205388,0.0,-0.013820091895831445,0.0,0.8215510567330997,0.0,-0.013090083415701947,0.0,-0.0028282906413327202,0.0,0.17501337449201926,0.0,0.16164784486381412,0.0,-0.005950453261298172,0.0
scSAGEj,5000,0.7177383981128537,0.931249009134485,0.7413376379521052,1.0,1.7224470540753904,1.0,-0.033283168517825756,0.0,-0.003252828981772371,0.0,1.1189930761752653,0.0,-0.0021845844175881757,0.0,-0.0040148013625586065,0.0,0.24293826776923788,0.0,0.211909972159947,0.0,-0.001135178146638438,0.0
mSAGEvf,100,2.231985649572724,0.703035690300886,2.769960080117402,1.0,3.4362069533836186,1.0,-0.10915242876528541,0.0,-0.18599064170433888,0.0,0.7855492263379062,0.0,0.2167834657040677,0.0,0.2683167967808311,0.0,-0.01757881083700852,0.0,-0.44189170781286347,0.0,-0.5778355607448056,0.0
mSAGEvf,250,3.329204910283965,0.7021664699415431,3.1544413764186316,1.0,4.7655196328392915,1.0,0.3228087000583404,0.0,0.19926367285103552,0.0,1.5638679532960218,0.0,-0.37790579102852995,0.0,0.8001923331214194,0.0,0.9894712508860586,0.0,0.6217039434434959,0.0,-0.14778610342492904,0.0
mSAGEvf,500,2.0120045507791287,0.811569836509216,3.55834203916228,1.0,4.9855381303950015,1.0,0.28699973637495546,0.0,0.011139870179265543,0.0,1.0288409335290591,0.0,-0.21965175850817256,0.0,-0.06847870503701081,0.0,0.04997806184584164,0.0,0.18232436425161147,0.0,0.35412215393533053,0.0
