method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),506142.19802066666,0.8654960129805995,18167.820563674875,0.0,3044.715271797002,7580.659696228133,15289.43143356414,9.107342212926596,17979.725786926138,665094.1318009394,174966.10107869215,99096.05216189203,56555.39964963679
Sobol-CPI(100),506142.19802066666,0.8654960129805995,32122.98105170802,5.763134743907664e-10,-1720.6766024222113,2845.6247039216496,4070.3610113489967,3514.8043545549112,16249.00745572286,540238.3509433817,193930.250940556,150345.07796041266,35933.65735598283
PFI,506142.19802066666,0.8654960129805995,31068.45262434514,6160.268047217571,22311.11085201468,4374.41192689637,48105.71524778922,13774.737885027716,127968.8078643693,1669993.3447263965,349749.74422040005,239595.8929892119,2707771.1327880807
CFI,506142.19802066666,0.8654960129805995,32789.39991594275,0.0,-9523.888607301691,3850.9520569411106,10905.652471339388,3305.309462653531,63487.898271588434,1392240.5133048338,196003.6699561312,275276.50338992133,31904.98510485509
cSAGEvf,506142.19802066666,0.8654960129805995,455621.9023803277,1097286.7211526027,108984.16857582843,-44993.860776611604,-109075.87340596598,-70721.504461037,373264.92116330843,1644307.860607456,64839.15337833157,94610.13884321274,2149773.8515187325
scSAGEj,506142.19802066666,0.8654960129805995,32205.350265390418,0.0,-2707.828579674824,1956.1618068484822,7996.886413278,4129.016667475051,24025.704851551505,598459.630020174,182140.25938207045,147631.01934248343,42944.17374901945
mSAGEvf,506142.19802066666,0.8654960129805995,-3035.2808104231954,16751.60138947051,-139895.246270624,-40468.57279173145,-156168.10978448298,185022.07063567545,81965.40100033674,1498796.6852885927,79808.90159963164,325022.6390084489,1964134.6983108653
cSAGE,506142.19802066666,0.8654960129805995,208585.12207848782,677462.9253359857,57509.57480203041,-2688.303618001046,-10724.925735441597,-15563.234862877316,125427.16965755566,934068.581800855,224117.5398355525,201085.27863068058,946266.6445863157
mSAGE,506142.19802066666,0.8654960129805995,69017.99752776165,31279.807177384468,-39670.71045790621,4661.711613400514,5893.010748140529,-197.52669597765532,105280.80979437864,1086398.3195809766,225055.3145839948,180528.29157065303,1676895.5162256237
LOCO,506142.19802066666,0.8654960129805995,15955.94262676331,-3803.9598557626014,6756.897636306123,-23567.72563735972,-239.80882777721854,18264.7797523528,-9661.414937076566,176598.40137886192,121661.98447640642,95303.55965239223,38292.21258717746
LOCO-W,506142.19802066666,0.8654960129805995,-37014.25609411226,80433.0316548728,-876.3480677726105,1946.9226202050156,130028.42468921242,-130526.74773095694,1984.908483764614,-48283.69438234734,7044.656097637625,12156.694519091165,86511.8088234337
LOCI,506142.19802066666,0.8654960129805995,1113178.576693865,1195326.5134654888,1134259.977716832,-1670.266374598723,-109810.46616189834,-151811.94561460335,357569.10173363425,1492362.8614640436,190688.9244396612,371806.95726590045,2823097.0799893034
