method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),321156.2016458581,0.917082048295093,6179.494693683286,0.0,-1859.3597976211167,964.2953216276073,6397.269217813184,2663.6897213372285,70568.7647858061,446089.6393904851,111969.37379382638,29520.27044007505,95813.38328701496
Sobol-CPI(100),321156.2016458581,0.917082048295093,9345.236024056103,-5.763134743907664e-10,-1184.5910058136094,-7669.157507925152,4431.832398330081,-502.391818463445,59169.25961934658,552847.4761798157,122507.85913112531,14950.58694019456,61895.078352720266
PFI,321156.2016458581,0.917082048295093,8050.610579665052,-426.6907288978691,29549.10614409723,4222.609910765546,34224.80537681072,10542.018404090195,38147.65176524187,1524346.8093002238,308086.4224055952,183306.55510825384,2677616.5480577024
CFI,321156.2016458581,0.917082048295093,10917.835125356913,0.0,-1227.5016958885826,-9235.213056431909,15529.063540746401,2917.172472422244,71417.06278268236,1096452.1181554247,266943.8535594713,48486.74803577992,112930.48188771057
cSAGEvf,321156.2016458581,0.917082048295093,807605.2022662549,1034571.8139630222,519903.3019214188,-109159.71544053359,-79954.92555527994,83323.0650431118,534460.4926130394,1815102.0186357498,424282.63774134824,344444.65183330234,2213623.07738069
scSAGEj,321156.2016458581,0.917082048295093,8656.592479711398,0.0,-1706.4845045867842,-8679.443493505067,8142.3683936250745,-2167.957987287198,77203.85458249261,525445.3148426973,109564.49312532385,15378.263578043145,65543.81267334917
mSAGEvf,321156.2016458581,0.917082048295093,77503.10079585947,-61070.557040743995,-217979.59347766452,-46667.01993993437,160910.08588001132,40332.990718308836,130953.93178122211,1767571.2523495746,289821.17992153857,-91452.89887487656,2230539.4953050576
cSAGE,321156.2016458581,0.917082048295093,302910.9294179497,584645.9219774515,198809.97105635083,1783.739217149006,23966.32611123271,2895.3753004104433,225420.55477381265,985638.3161992749,230812.7912717247,82153.58267573087,980660.7607350154
mSAGE,321156.2016458581,0.917082048295093,110708.67826878134,444.0775520975717,-69637.07813662244,2725.462332156936,29365.85175372555,2877.4234932054824,119773.77840847967,1231120.9684628197,267000.1936628658,102873.9960863589,1828124.5308216684
LOCO,321156.2016458581,0.917082048295093,-454.79425614501815,-6308.4897490454605,-33854.98925638589,-6718.436579267553,25613.78181116545,-23440.045935530914,44068.70294550102,198605.37166971812,70677.46432724281,5650.914955271641,25374.911496301473
LOCO-W,321156.2016458581,0.917082048295093,-20158.885595215037,11960.694354129275,5786.878083896395,60841.283379087356,6421.121121034124,2028.438511618189,10996.295693065378,21350.028450921607,172263.0169068103,-11726.772093233532,16181.78283300466
LOCI,321156.2016458581,0.917082048295093,1525351.2604962764,1016763.3162773354,1739824.0009367042,13833.348378555384,-31235.73898082832,2553.875825093128,532021.409503961,1880644.9171165926,329860.5255689295,197146.42866484914,3196356.082147374
