method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),336459.02366418054,0.9119257766412076,7500.828749648266,0.0,1171.5260511627712,-3188.6024784726033,32484.21455852079,-11.795614981383551,11417.412896763184,848156.2216417699,172044.20614363282,34066.856853496894,28103.053871696233
Sobol-CPI(100),336459.02366418054,0.9119257766412076,13069.629995230272,8.06838864147073e-10,622.8462361343353,-23836.848137384834,26254.81994962954,2706.355509914384,19232.975816762762,636748.9549097592,196009.55307291474,58073.45570508745,46367.535071253675
PFI,336459.02366418054,0.9119257766412076,26339.760915589577,1300.5699670694885,39148.730386199255,-18595.795835006516,40916.682373939315,-5734.436541698524,24741.430686633394,2101575.66735902,447845.2756675428,232425.59933209824,2924683.328960121
CFI,336459.02366418054,0.9119257766412076,17906.440805636288,0.0,1665.6297205671435,-31662.493413907476,40771.11551165226,-6321.482536780939,45497.271702925325,1392204.3582447623,328980.74326627713,126481.7680676328,94008.8130111671
cSAGEvf,336459.02366418054,0.9119257766412076,938438.0825577523,1404142.2328711874,414475.7845409438,-124792.84677841142,50114.5869405237,601.5894028055482,342469.40985542024,1783258.0184444669,76031.29064374324,76302.90701896232,2492556.3845960833
scSAGEj,336459.02366418054,0.9119257766412076,14510.138226619165,0.0,502.0251708225114,-30314.93098508147,25526.029665148875,648.8996670344495,23015.441692839377,568653.6893464283,162619.4419093799,62916.7432542718,47369.19201809878
mSAGEvf,336459.02366418054,0.9119257766412076,232831.31140882612,2728.007583972998,-108891.57586502144,67320.54665870359,3261.6380414580926,192586.52873356314,310018.7585987067,1626285.0186761902,184887.2053938317,139525.71872208593,2340812.5144339027
cSAGE,336459.02366418054,0.9119257766412076,341210.99039041594,707536.3854568953,157880.96765938067,-43868.72063430551,40092.77999283881,-17.175205392648714,86642.04870610693,1021245.9416249889,119785.8419119025,82914.13267250509,1052745.8745325068
mSAGE,336459.02366418054,0.9119257766412076,96463.46546639803,10687.463885086856,-44572.05135787785,-36354.91954451293,56440.47067033498,3112.5021219549712,54876.238215056685,1273051.9242236027,123153.4147516245,95026.32620392264,1934280.1927737407
LOCO,336459.02366418054,0.9119257766412076,-33430.69431331736,-2954.7279603960924,-5917.7421531733125,-40594.93434084533,6703.905322450213,-23958.54362349905,-24226.527342517453,66317.53881405084,27645.186731625465,30123.2359484763,15317.843156331219
LOCO-W,336459.02366418054,0.9119257766412076,47852.73311272602,-25484.331653933612,-138275.61955129256,-33708.507138391455,3289.821162300337,5596.713964182718,-73072.9816160915,209679.8058005542,105686.59390284399,178884.31234797472,-204905.16733475422
LOCI,336459.02366418054,0.9119257766412076,1364041.294421116,1330782.7383487164,1499696.3880653675,-55893.83099066047,-59147.025608510245,19487.482249153778,262522.81066557486,1877096.7183178787,155751.35792380152,104156.97568891244,3128109.4435117664
