method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),425362.6510484694,0.8878855477128844,-2177.0072950680333,0.0,-2724.5750150510285,-44.492766921786824,9103.368850255094,1706.0140125850157,41415.868922278896,407252.8911769558,88407.9787067177,17210.992020748294,7532.962901785708
Sobol-CPI(100),425362.6510484694,0.8878855477128844,-5907.805403882908,9.79732906464303e-10,-475.2519424663543,808.577218449255,12929.51178791481,1202.440517786072,39112.50538095252,401782.6929031332,105041.54510920386,16869.062224326317,25824.837401328437
PFI,425362.6510484694,0.8878855477128844,115151.61254795914,471636.4479467687,117071.00828656468,255.693056802731,23746.887143537402,16456.412277891126,122892.08771547621,776713.881292687,279573.6251193876,-3765.8797052721493,1265959.6953083333
CFI,425362.6510484694,0.8878855477128844,40953.24448095239,0.0,-3387.7628263605293,250.59683282318292,8215.601172278868,10327.46586054418,93778.88116530608,978175.0287170068,99283.1613622448,75785.37445714278,23120.70510408166
cSAGEvf,425362.6510484694,0.8878855477128844,545835.9135731556,1594014.541671027,520805.59469148144,18733.98396047391,56007.23960493319,18676.51429305412,298017.20951971365,1592351.56705287,152034.11458603758,140100.12569775153,2511463.541855979
scSAGEj,425362.6510484694,0.8878855477128844,-4206.374275291339,0.0,624.3120955346385,242.46499312046217,12176.252505323093,545.1235267270822,35212.86591968121,446295.9586006627,120299.7316533513,19259.814638116397,24134.584213793394
mSAGEvf,425362.6510484694,0.8878855477128844,335674.86347012455,722487.4620895456,220156.8447477566,180539.8632874093,91530.59270544443,63200.65543104848,109071.06485565938,1204870.3357083169,148954.52448067535,141906.976253842,1839664.3115343703
cSAGE,425362.6510484694,0.8878855477128844,197891.3420359049,873341.7056483438,250542.9244733075,-3554.867714431693,6685.541509297803,-5830.652477241996,118090.17738553423,802592.345797579,154162.382249047,49967.90046451511,1147300.0891417894
mSAGE,425362.6510484694,0.8878855477128844,250016.58010514092,563524.8694377921,165242.34205200203,3754.6536093797718,23186.901226121438,1063.520110483769,99350.1164768748,961732.6928131271,157797.99590711627,50542.41351991215,1315228.7297736607
LOCO,425362.6510484694,0.8878855477128844,-13323.259780442168,8448.171691326483,-2168.7602435374865,-821.8883598639513,26395.913963775558,-473.99327925173566,44522.90514863946,81277.97950799315,81248.76442755107,-30303.695972789137,39928.71655510203
LOCO-W,425362.6510484694,0.8878855477128844,-1959.039611595611,130758.7248905884,-97109.90056079307,-44046.995193745475,133437.85101971126,-5238.988387697518,83991.0234785158,-7060.217011754745,2850.542597865006,-125203.254851826,-35709.8022667248
LOCI,425362.6510484694,0.8878855477128844,1009284.9747949913,1650714.208233437,1547714.6982686324,43406.280179989524,-91546.10170899285,-83770.99772863137,273379.7104116916,571504.3698031567,-845762.8345239656,-1420756.329947492,2938145.7517748307
