method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),484828.34347730095,0.8599013471084975,10308.094217835285,0.0,-1789.7800246936386,-449.38282548805,2626.131984364154,2053.3902145269967,47205.89625454624,449106.1605990524,112975.36333770806,21133.965670401114,16339.491474464478
Sobol-CPI(100),484828.34347730095,0.8599013471084975,6549.910629081764,-6.915761692689197e-10,-4043.5258907219854,-1521.9686465160369,920.6003504737262,-1729.3915377021538,11336.3569184392,505277.0182747738,123721.31631900625,21645.31710217338,30777.538343435117
PFI,484828.34347730095,0.8599013471084975,168483.33796655294,376151.51161425794,72392.25682644325,-1736.6090307044215,-1148.1491913897917,2094.873089894827,94529.47829842113,1023391.8680536627,241481.12343168934,91791.98831908358,1013122.3523290212
CFI,484828.34347730095,0.8599013471084975,-734.206507097173,0.0,-3073.001826113672,-1633.1828465156723,-1746.2269550595665,6637.328280306887,1541.2757219549385,905264.5450244503,171360.4056505483,25231.874662157323,50362.05377300852
cSAGEvf,484828.34347730095,0.8599013471084975,715988.4906482901,824625.361674726,731232.8032246726,1969.149968978949,32354.10341658955,-36760.80966934934,-31783.87250370253,1490793.441301345,130911.60446765367,149341.0212794044,1937997.2243065059
scSAGEj,484828.34347730095,0.8599013471084975,773.7622728658025,0.0,-4378.098000720784,-943.1304744586232,-23.939050887012854,-917.5070691176807,3263.9743557370384,521190.03223901853,125089.28202040448,27701.674642623402,39156.86593554984
mSAGEvf,484828.34347730095,0.8599013471084975,544295.8730033124,564741.9729126417,216623.05363772577,-40951.351326331496,113208.27160002384,-38105.11442264216,97475.89615234127,1379377.161077851,149395.0266623469,53967.251136301085,1691560.2854467141
cSAGE,484828.34347730095,0.8599013471084975,265083.9227105441,471909.2010030212,283038.31272497104,8010.7374348010435,15548.895345503788,7438.743893899127,67509.99534251515,850485.1740727748,165482.71787890623,65873.28318848027,865631.3498512496
mSAGE,484828.34347730095,0.8599013471084975,236025.78556380936,391943.8497982621,149479.42621464634,1117.1358708952132,13566.109109584759,2971.893597723842,78077.27215563811,970776.212087523,152591.07574646416,66173.98404344443,1006903.8522941276
LOCO,484828.34347730095,0.8599013471084975,-29977.23654756602,-24210.121560323692,4776.548889586586,47.45775905647315,-14963.42249723227,-4323.398165268358,31854.813053135877,130748.61221530195,89110.08521296526,30877.28540452622,4042.7319668793934
LOCO-W,484828.34347730095,0.8599013471084975,10381.266815484878,-116048.48248008596,-21453.879774400295,-179612.89900781226,23411.532480958012,932.6624987527306,103956.56363187144,7119.224192428616,-21907.8371002945,126450.98424155395,-80277.6236044027
LOCI,484828.34347730095,0.8599013471084975,1090797.8489572601,744853.4035471166,1398229.8302611816,8089.58730008034,4190.5403990154155,3315.6405284772627,116336.37345681107,1461105.1361678187,-137025.39660474192,89920.3006459861,2487972.5921566044
