method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),497014.8298147119,0.862794800441674,6909.388668135798,0.0,-247.98655109238462,3368.237018232612,9962.135612889775,4228.520892311586,27691.469711010723,659727.0938643335,117751.25549851122,28928.673258171853,6755.0449816045875
Sobol-CPI(100),497014.8298147119,0.862794800441674,7719.701469881866,-1.2678896436596862e-09,-1270.6017105196404,6839.63792599861,21536.82307102354,3911.067107003032,13687.313809666419,726121.9058258337,83408.50486386432,49662.65486330998,53273.71337721038
PFI,497014.8298147119,0.862794800441674,11174.264416303078,-270.8926241742447,14167.292752990616,15216.459805817169,75221.1848987409,19539.30689295713,22810.350840717903,1640032.5907929444,241272.1375466495,72657.93749956024,2836410.776661501
CFI,497014.8298147119,0.862794800441674,14446.493214163054,0.0,-4478.141575788206,6736.474036465224,13581.521270952362,2205.9220854291343,154211.64140016347,1517539.0478264843,207893.8304343351,93359.09630762023,103657.67823577143
cSAGEvf,497014.8298147119,0.862794800441674,629229.0030300226,1126602.6121678133,71686.34465098288,-75898.53792678891,-205143.24402366765,-158236.4932305268,-32691.289210894607,1299927.2536339662,3061.040668949019,83252.54561625142,2212829.0562565653
scSAGEj,497014.8298147119,0.862794800441674,7904.136125501653,0.0,-713.3622375985142,6581.293530623952,23376.338584804034,4543.335327117646,17215.83769627282,724433.658708079,106317.11591782636,55427.357468826056,39506.94359324471
mSAGEvf,497014.8298147119,0.862794800441674,206772.0211912128,-50577.044765062165,21724.090711619705,151039.73887456348,175753.08974745637,-40133.90111398557,214511.89029841172,1389643.6276698266,94423.91800236236,308955.1972684683,2223586.619457731
cSAGE,497014.8298147119,0.862794800441674,191785.3673994202,699209.2649454197,88282.06923949413,-3643.2916993535973,15024.481537290407,-4277.355674898009,96644.96426911432,991303.9258230072,107432.22627188773,84529.96554111177,992890.9931340959
mSAGE,497014.8298147119,0.862794800441674,93438.98102317344,-1099.21152180566,-44646.4026621484,5178.159326994331,33213.738117297464,9194.024342319422,44887.9185718662,1079418.3339600428,122622.01827105279,87972.88327119857,1827516.186339382
LOCO,497014.8298147119,0.862794800441674,-45061.4342170725,3000.4554710099474,-12581.905682392826,6344.642199853552,47942.67607896897,-16414.582223112986,-8615.152627583011,120228.1521134043,78358.9764189609,19890.391801447724,-7001.826511896856
LOCO-W,497014.8298147119,0.862794800441674,17320.64181009921,-34538.73958652896,-29368.88383308835,48922.35851605093,-110037.60790280526,104554.22114182252,-32379.9271021356,-11633.04928852727,201873.03462092648,198536.82872398087,60660.8345622232
LOCI,497014.8298147119,0.862794800441674,1061698.3539149356,1182133.1530848062,1256175.9213933428,21750.316825520713,-31854.462773132138,-3390.903915741015,126842.83473168546,1500978.965730214,8690.211188935209,-27832.06206019642,2750992.510471757
