method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),419471.51731389813,0.8823394510425913,15687.321145505557,0.0,-856.348953946901,2213.049712692853,-3777.16900566034,3064.5378317818104,104242.73069384546,736328.0994162823,94012.84951911247,71319.13740456433,62503.417809897306
Sobol-CPI(100),419471.51731389813,0.8823394510425913,20517.28455163642,-6.915761692689197e-10,-1515.017863522897,3602.567026564865,4359.56559975869,4363.261385560773,89317.98952856887,630196.6108127299,104507.60138322152,86924.37423423484,66899.35474356638
PFI,419471.51731389813,0.8823394510425913,37971.06183786021,2948.7535051655723,87629.15600798151,10826.694112740108,55728.52157165209,19120.044288969482,102394.39925465279,1881664.69549511,306104.96783324744,232059.26281047714,2513814.6614700076
CFI,419471.51731389813,0.8823394510425913,23555.022047799022,0.0,-1503.8777644336224,859.9752752574859,14153.579952178232,8026.063734636933,59459.370786407315,1145497.07359235,340711.12450789433,72151.80752974149,92157.5676094757
cSAGEvf,419471.51731389813,0.8823394510425913,712902.5423546964,1109052.1626864173,216072.84759437293,-141137.8578530983,-76563.9546545865,7621.694621715229,337879.9390774886,1384364.521669499,261676.63230180365,57207.59261990944,1945436.1267812466
scSAGEj,419471.51731389813,0.8823394510425913,23336.123030809395,0.0,-539.7333793246653,1320.8749570029322,5725.747655549378,2949.2549127309467,78630.46360061382,593070.4774886016,116925.2764780573,89417.8336309155,82043.54864901252
mSAGEvf,419471.51731389813,0.8823394510425913,29967.560333500616,-156611.13977840543,-452186.68343526544,29810.634891801976,201.9328005090356,242525.77923501938,195811.4921471458,1404160.1903819917,180186.59426154196,234517.2627783171,2162022.1171477917
cSAGE,419471.51731389813,0.8823394510425913,255900.2998998675,592166.9515634883,65998.03196595785,5972.949830001398,18195.283907842586,8525.834179897343,153585.30706329743,921787.8370696674,118433.11569024295,114243.56668663395,964674.5834398723
mSAGE,419471.51731389813,0.8823394510425913,143449.2360111848,12252.696239672494,-128968.33689804244,12838.127047865974,13635.976301114955,13350.103587642056,102688.50049364923,1115358.5567025142,127198.93771983705,116202.18087938786,1692341.2771044783
LOCO,419471.51731389813,0.8823394510425913,4176.821533981361,-5021.561871507787,7270.046994532342,14059.629888981639,-19600.86284151784,9072.954872075701,41222.816167379206,139187.31164734432,8364.064244422945,58441.38159255491,52934.25036800525
LOCO-W,419471.51731389813,0.8823394510425913,17682.325315683756,64393.11285731688,-35919.379839000845,-12015.708634965244,2899.2698035582607,136952.72262607023,-83166.8920281232,251869.40734478823,131701.90707031902,-42390.43997870334,-12647.681308749916
LOCI,419471.51731389813,0.8823394510425913,981098.7324981089,1042433.5365966703,906581.2138916138,28385.332778310403,-5420.638181607239,24106.13255394157,315373.4089876972,1426192.00449447,168512.64498162828,341864.78023285326,2665734.8921709303
