method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),370170.98574810603,0.8959818525744594,14926.20872690453,0.0,357.6005124246876,3683.2467739464773,19199.35804300144,4000.6053523420996,10.829246494366089,483441.10498243413,102727.422749774,44595.01516810004,34415.35031413063
Sobol-CPI(100),370170.98574810603,0.8959818525744594,20754.954634684927,8.644702115861497e-10,-3704.151251482648,2308.040286620934,19142.00785267311,5536.0075261141865,-2904.3131710020343,615127.7037943171,113382.57232330518,43548.817214156596,50356.00925509641
PFI,370170.98574810603,0.8959818525744594,73197.23344295647,4.334619153116364,26247.537752550445,8425.652878218389,57249.69881925108,14612.825868842017,71691.75359794375,1309318.2471615649,552375.3663052002,264969.9724998473,2500747.6785212844
CFI,370170.98574810603,0.8959818525744594,26207.959586393146,0.0,-7587.750638168771,3949.0276261387626,44019.03160078713,8421.2360191482,47609.88166882808,1368618.1259635962,237629.21411406618,159839.46105090634,75243.06672334578
cSAGEvf,370170.98574810603,0.8959818525744594,368442.81396836555,1127353.6808633911,38108.06266123336,117409.75613647327,-73291.78932539141,-131329.25051624142,353898.5629786197,1464190.1756563517,468979.44792775344,223542.11067122826,2042394.526323597
scSAGEj,370170.98574810603,0.8959818525744594,21221.78198953002,0.0,-3455.7956067141495,2666.112400613085,20535.482785092317,4558.163376135926,-4818.260551374406,607597.4913851672,96659.00701097434,53754.2756347502,57334.16312183812
mSAGEvf,370170.98574810603,0.8959818525744594,233642.2011076501,245223.88659924502,80920.76096159592,164821.27642630832,-135120.94171831384,-114729.94707910159,129895.14553241759,1436413.4111750699,-16388.875247036573,289828.2590177045,2163189.273917113
cSAGE,370170.98574810603,0.8959818525744594,182564.2513321999,636767.112374123,108237.67583332317,8876.203398971,9436.513806701849,9905.698580822249,167365.7774238635,924036.5474177593,178594.86468623852,103909.24213129564,956726.2450614155
mSAGE,370170.98574810603,0.8959818525744594,106628.08331668942,-2077.7495107761797,-7956.554475454785,10417.796153641004,7570.2737776920285,13293.191013632419,87640.78713900158,1029928.9488920383,212353.6351804448,129816.18024677726,1690521.9889389304
LOCO,370170.98574810603,0.8959818525744594,-13446.73054744536,489.487356153375,-17978.745004454453,-13525.263605326356,15794.062701142335,-16529.7935469402,17436.041100855044,173309.3027302865,67665.82514277974,26718.49609095091,52508.74280498148
LOCO-W,370170.98574810603,0.8959818525744594,142083.90012816846,-68879.3154928995,-26838.95476569592,53063.6498938952,185205.9325033548,2359.8793230716706,27691.26961908605,135481.65138762016,-168235.51191564696,-34153.55888185317,56000.68124126672
LOCI,370170.98574810603,0.8959818525744594,1024510.6019337238,1021337.7854252057,1145559.923383797,22196.01384475734,-44309.289699347224,21182.355415581726,389340.2974728956,1565982.728096493,232996.78821957763,211075.8178108693,2762709.7608770104
