method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),502306.47010513116,0.8598566672084459,9662.013272257347,0.0,-2814.268072188599,7639.439632431429,11018.885504330683,-991.4963218992925,19238.513934375078,724458.9745161022,164196.31877696223,106868.76017079974,15464.039455833554
Sobol-CPI(100),502306.47010513116,0.8598566672084459,25085.903122296353,4.034194320735365e-10,-3910.1248696022826,10892.040954417454,17379.342422928687,2456.3416110525727,-22132.33500660707,630321.8837005775,87133.21259014566,42434.63435668987,19720.835790393117
PFI,502306.47010513116,0.8598566672084459,40596.73941504548,-11233.330698951264,45248.26998852973,4302.733997677162,72603.59457960259,20390.973316601245,126631.55127257643,1473235.903057046,336611.71047587006,230268.11989626233,2342366.1689363844
CFI,502306.47010513116,0.8598566672084459,23396.969217904843,0.0,-7068.9189837786835,12033.283092297555,54628.271157569485,2180.6452674319153,26311.029275445268,1554813.453593584,284811.05075367505,79370.249034281,66137.66605325835
cSAGEvf,502306.47010513116,0.8598566672084459,498768.6226827233,1065164.9829260726,227434.4202230717,36642.57636557147,-29485.601004598193,305253.489915058,380527.7005317509,1852346.1588401832,193714.05706397956,200192.02755398164,1878065.8586126692
scSAGEj,502306.47010513116,0.8598566672084459,25511.715477079153,0.0,-3627.8387011274463,10244.855400857923,22171.907989243628,2104.6675328403944,-20470.158627061,537065.0699564387,95816.87990864285,53700.88077007735,27531.150394023978
mSAGEvf,502306.47010513116,0.8598566672084459,218338.50956400577,-34852.614593189675,-448893.6667563878,-139855.52670306247,-75806.90473335097,-105716.13074896159,127253.82317847059,1665878.5293791036,176876.64878758695,29837.754527413286,1631765.6937853342
cSAGE,502306.47010513116,0.8598566672084459,256028.09338493788,537700.4248472586,122178.14000009271,20099.245318409194,21765.80587506383,15997.638756834143,161806.85475249746,1042235.2506885428,155150.24559559958,39781.25056421899,786993.8854330616
mSAGE,502306.47010513116,0.8598566672084459,105946.31952187701,18934.984298451764,-44911.32550491078,14421.399743408236,20896.709323901767,12061.498078890998,125443.06786150525,1257762.245872952,183325.29845648413,54200.60954830583,1413919.0272426086
LOCO,502306.47010513116,0.8598566672084459,8598.280982588301,2561.0212670116453,27841.06094742287,-956.9928674562834,59374.67747071863,10732.971373554086,31653.831594226067,104653.40133115824,104657.12904074683,-14772.95939272223,12213.231643312261
LOCO-W,502306.47010513116,0.8598566672084459,146263.11119158904,-55673.62949115115,-37368.046473713635,2891.2346180590425,134404.1024744717,135567.82633545948,-13777.068455363602,10819.443733362557,15867.18030826533,-86220.0151066387,33671.89213555615
LOCI,502306.47010513116,0.8598566672084459,1010530.3093351764,884245.893173065,1190866.2152065844,26613.958085336257,-25331.037224555388,12488.606929869857,315259.2901667524,1735514.0573161612,118291.82140698563,-59451.94197567599,2812618.6409623055
