method,n_samples,mse,r2,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9
Sobol-CPI(1),100,1.095681208632204,0.7528929159009868,0.07050652155648707,1.0,1.754965861094294,1.0,0.09671840762334794,0.0,-0.0021140613719728973,0.0,0.05229631237065058,0.0,0.00945138692970171,0.0,0.013023293613207199,0.0,0.24837396677323498,0.0,0.015936017466052332,0.0,0.03420366001176922,0.0
Sobol-CPI(1),250,2.374573119662064,0.7445374129878501,0.4475915376618791,1.0,0.9659093381374064,1.0,-0.00030139493250169735,0.0,0.01754015460404168,0.0,0.4434867122291253,0.0,-0.015197324037480975,0.0,-0.0027842555407486813,0.0,0.021883785249916965,0.0,0.08895038346173867,0.0,0.003584583907401351,0.0
Sobol-CPI(1),500,1.8693538819706794,0.8133984859247855,0.608018163758945,1.0,1.3330554954620222,1.0,-0.043398361957291076,0.0,0.08342669248285195,0.0,0.6586831906906399,0.0,-0.009950857462541207,0.0,-0.0015035484280978562,0.0,0.10975791819948699,0.0,0.05019253550226588,0.0,-0.0011720276398314855,0.0
Sobol-CPI(1),1000,1.4499880476071068,0.8557414006137951,0.5211048072867422,1.0,1.995561201001936,1.0,-0.02729463902588658,0.0,-0.0020257768936523535,0.0,0.7211523112164314,0.0,-0.007529891552033541,0.0,0.005125539809499258,0.0,0.12196636245769787,0.0,0.12716299141373733,0.0,-0.015033411105965011,0.0
Sobol-CPI(1),2000,1.0938656892899707,0.8913810249315616,0.537584889203729,1.0,1.5203860579362258,1.0,-0.019605953206808135,0.0,-0.000984210982738265,0.0,0.5816556371944238,0.0,0.003731984457370663,0.0,0.006941193060609363,0.0,0.13495705045329776,0.0,0.14962528657622165,0.0,-0.005558248909180885,0.0
Sobol-CPI(1),5000,0.7976477906434906,0.9218752948673913,0.5741909126373543,1.0,1.7102589045505843,1.0,-0.009083974848328236,0.0,0.008922540469476048,0.0,0.9519942102102499,0.0,-0.0006804739835583051,0.0,0.001312696595533347,0.0,0.1693803414039617,0.0,0.14128953304835773,0.0,0.006710441637333808,0.0
Sobol-CPI(100),100,1.095681208632204,0.7528929159009868,0.11251943018997652,1.0,1.2500234174147529,1.0,0.1250194996607778,0.0,0.061419388425476784,0.0,0.07710376893269115,0.0,0.031661337345964796,0.0,0.05605632083347171,0.0,0.15879017159093098,0.0,0.025729925287072124,0.0,0.031484265198877814,0.0
Sobol-CPI(100),250,2.374573119662064,0.7445374129878501,0.18628913862509278,1.0,1.3221455507015205,1.0,-0.005616069981950744,0.0,0.07786691105827143,0.0,0.5193486165885117,0.0,-0.02997867726687496,0.0,-0.0029608019640531774,0.0,0.037792615119250667,0.0,0.13417745821197619,0.0,-0.001322590582365051,0.0
Sobol-CPI(100),500,1.8693538819706794,0.8133984859247855,0.41499159648252487,1.0,1.4985784976451204,1.0,-0.07450167655390276,0.0,0.06998762587048861,0.0,1.2223488847047135,0.0,-0.011961040617252292,0.0,0.005081193252144499,0.0,0.10260923732963166,0.0,0.06289990101940175,0.0,-0.012079897004789631,0.0
Sobol-CPI(100),1000,1.4499880476071068,0.8557414006137951,0.589383257934127,1.0,1.8608819967431238,1.0,-0.028103615604328135,0.0,-0.022640345316665096,0.0,0.9889819248293927,0.0,0.0007852767644244262,0.0,0.005231044107317179,0.0,0.176387406808431,0.0,0.21051775595993616,0.0,-0.013899215651535188,0.0
