method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10
Sobol-CPI(1),425119.41562108835,0.880214010683627,29144.474480272125,0.0,-899.1825557822885,194.6863387755293,9806.05119183677,3387.8893523809966,19578.852672448935,408174.35177278926,59527.74798401364,28366.80197755102,30430.595148639462
Sobol-CPI(100),425119.41562108835,0.880214010683627,38731.15039050566,-8.06838864147073e-10,-4445.188394267663,-1832.3540794154824,12187.41316479512,3560.1120346580806,15055.822296551427,374201.29041210655,77064.2755482834,20050.439864906395,45814.401006232256
PFI,425119.41562108835,0.880214010683627,94594.77889863949,404941.7897809524,78639.44959727896,-2386.3614292516722,6917.467921088566,15270.774344898004,93756.96831836744,750808.4751659869,177280.3883176872,71176.9026408164,1019313.4048897957
CFI,425119.41562108835,0.880214010683627,56008.97273877548,0.0,-4815.498841496592,-1329.8958142856718,8679.297424489865,6676.631738775584,19141.346971428662,652984.3597884353,121116.25613061235,26624.970367347007,46832.15513945592
cSAGEvf,425119.41562108835,0.880214010683627,820017.4145447952,1288110.974765115,890033.6339239217,68481.1320991572,-24598.098091570195,-86261.9932242618,25080.098293116316,1558989.6135537666,211022.79453651654,243003.91725386726,2190977.237412352
scSAGEj,425119.41562108835,0.880214010683627,44733.17233310721,0.0,-3340.544909271819,-2349.6830338165164,11637.215295967238,2724.535819223791,14942.338723769933,368258.3052422856,88255.18263782532,18149.670689352963,52224.49556430598
mSAGEvf,425119.41562108835,0.880214010683627,489743.4236307792,876145.4848776283,247462.55881881292,-6929.2083707954735,-34355.09970427118,-61032.51682520425,277670.86678874353,1260523.132509715,-15456.514016755391,106308.28238263773,1594946.3243042424
cSAGE,425119.41562108835,0.880214010683627,342708.45462902053,596608.2566468962,299897.20791122,8643.222361113721,18391.868955401875,9082.372239186796,65387.29102928518,718032.2531359869,129240.77607544443,92013.8370181395,953817.4278783499
mSAGE,425119.41562108835,0.880214010683627,293985.77160215983,504772.85320775124,208289.1802786055,3591.2762616909467,17408.692637822714,2885.552493968065,72766.85938118429,844525.8235054745,102282.64564965991,80350.63986735855,1099477.0576488117
LOCO,425119.41562108835,0.880214010683627,5164.664944898046,1104.8363585034967,-10986.595089115552,-7317.270629251667,9727.958546258567,-12393.988848299254,2862.697497279092,67336.96988163283,71565.75976598653,13676.74399523827,15815.46282653074
LOCO-W,425119.41562108835,0.880214010683627,-14264.961541840874,26967.121968228523,-10850.601003808308,-10140.574441695344,-58187.21668221138,-24469.891074937546,-14829.330814018951,83584.19441436372,82978.60979892961,89335.95679785314,16248.554374884707
LOCI,425119.41562108835,0.880214010683627,1412255.5971471681,1072467.1554296594,1434536.5979463453,50967.55631272774,-16243.6297372845,-29541.281749940477,165336.6897884691,832695.948150611,-1220135.252106877,-688005.1353006829,2858974.661376068
