ordering,sample,i,x1,x2,x3,x4,x5,x6
0,0,0,0.025295400906115706,8.302226670897639e-05,1.1159320498653942,-0.0004332131921800375,0.00010658503504679118,-0.0060260386860977455
0,1,0,-4.29218266735365e-05,-9.486735499386612e-06,-1.079134057002662e-06,1.119945237549553,0.010517424513335705,-5.3292980524366484e-05
0,2,0,-4.371661557178719e-05,0.023650006312277764,1.1021216986758189,-0.0008423670957198315,4.476232409977854e-05,2.9951835639918656e-05
0,3,0,-0.03830062310677329,-0.008559199845341148,1.104945031709128,-0.00036971978904132285,6.234429987572732e-05,0.026455615022839215
0,4,0,-1.6681678606689232e-05,-0.0002621571443155446,1.0809374239945264,-0.0005677827313805839,0.017037981134722102,-1.143781570833724e-05
0,5,0,-4.286461587144075e-05,2.193593236388125e-06,-7.444221294061748e-06,1.0839897106772913,2.4688111321946593e-05,-3.753348769919285e-05
0,6,0,-0.034429855353609096,-7.348330426482086e-05,1.073958213217867,-0.0005139162995024815,-0.00013260980735174677,0.0
0,7,0,-5.1767394994461924e-05,0.0001189698580708054,9.662135156185414e-06,1.0814858226190358,0.00011039347945951405,0.019394299801881676
0,8,0,0.04374551292811901,-0.0001065193783973406,-7.84821161810001e-05,1.0705324261623295,-1.7349180890358085e-05,4.175963035368824e-06
0,9,0,-6.937602561141176e-05,-9.101239208497702e-06,-8.446852389987214e-06,1.1036608549778342,8.154291087159038e-05,-0.04409522298400014
1,0,0,-0.00023673872214158287,0.005149798475200029,1.1132733287163297,-0.0005718638179983415,-0.00017541184644631613,0.0
1,1,0,-0.007223879589658644,-3.239463332338488e-05,-1.7166129110623984e-05,1.0913653973577704,5.962568109740829e-05,-1.9244377724714212e-05
1,2,0,-0.020047070747734264,0.011038001705432343,-1.959728928024873e-05,1.0765914476235994,-6.392585522418948e-05,-1.5154817385454322e-06
1,3,0,-4.559805577453169e-05,-0.00011429554048381085,1.0907184998781454,-0.0006720267192303897,5.585611469283158e-05,0.0
1,4,0,-9.293804071242029e-05,-0.009805174309499787,-3.0015870548849577e-05,1.0870309035173815,5.259731517104349e-05,0.0
1,5,0,-7.167577368272227e-05,-0.00612367339661235,1.1055002485983785,-0.0005379471698629956,2.2876550952233288e-05,-0.0029080882316030454
1,6,0,0.0013942383625886734,-7.201374079834899e-05,-2.0907559458160918e-05,1.0904948554652232,0.00572057822952754,8.015365023261722e-06
1,7,0,-4.271630480001676e-05,0.009807421360021884,1.1212754154263738,-0.000571799386695826,-0.045510906546790235,0.020974363894077808
1,8,0,0.01156289932092136,-0.02484369839558109,1.0908668040530842,-0.0007023989471151015,0.0001002428650274112,4.52959488155269e-05
1,9,0,-0.04174413009751898,-7.925430548749723e-05,-1.978800609991893e-05,1.0963645055210083,5.248931772361409e-05,0.0
2,0,0,-4.178380965402795e-05,1.2668240510826934e-05,-1.806514284652394e-05,1.118471079221741,0.02794397211153576,2.0286032288208133e-05
2,1,0,0.01821669615157795,-0.000165855862386044,1.0889188188206749,-0.0006913240217347738,5.313938618045633e-05,0.033791806144293
2,2,0,3.48085647370322e-05,-5.563125577601191e-05,1.117594820999479,-0.0005340056012450578,0.009480430982305332,-0.027265146145544424
2,3,0,-0.0001108914235359304,-4.6742833219370894e-05,1.0880263951323688,-0.0005210658422729608,3.109808980994444e-05,0.0
2,4,0,3.845727142248734e-05,-3.339484311415397e-05,1.1097007428798562,-0.0006475445774651867,0.00019040131186387477,0.0002491413149874333
2,5,0,2.5558099342681828e-05,-4.34720476185646e-05,-3.715592520814326e-05,1.0881177277269491,1.3561248075166787e-05,8.688325039596378e-05
2,6,0,-0.0003098834102130965,3.827045039761501e-06,1.0803650757905547,-0.0006216043182596387,0.00026122495559044445,0.0
2,7,0,-9.250696038387574e-05,-7.729928012034648e-05,1.0761725206765442,-0.0007539747237248484,4.083994198511576e-05,0.0
2,8,0,1.7368711790366476e-05,-8.731675710316189e-05,-1.5132681740359644e-05,1.1107462163876543,-4.9529519182467396e-05,-2.8069814002051885e-06
2,9,0,-0.00029092669338948163,-6.232952190554641e-05,1.085423838625247,-0.0005500806994009899,0.00015259157562064196,-3.828741913380895e-05
3,0,0,0.03067327206884407,-0.02546103761189178,-4.1067061071986544e-05,1.1068121714507142,5.22936110955996e-05,0.0012387813597665165
3,1,0,-5.1351362142959545e-05,1.673294565174288e-05,1.0895113608701688,-0.0006313442962853077,-0.00011995851296764393,-2.7421869888133443e-05
3,2,0,0.008375948722437077,-7.859020651368454e-05,-7.699709076547379e-06,1.1064693272089638,1.1692728765666516e-05,-6.260807726055084e-05
3,3,0,1.0239991978133745e-05,-5.813666833365261e-05,1.0705038982112278,-0.0006762393361459118,0.013780118752983574,0.0
3,4,0,-0.011272411073497414,-4.246020262654859e-05,-1.6151883735826544e-05,1.0968431402105774,9.310841119880564e-05,0.02996859469154911
3,5,0,-0.014471471196922714,-7.885473941882104e-05,-1.545453541806907e-05,1.0987184438196265,7.179959663683455e-05,0.0
3,6,0,-4.746328930371746e-05,7.207504975226264e-05,-9.651875783700525e-05,1.1104566895063508,7.670867712072926e-05,-7.571479827728211e-05
3,7,0,-0.00010121004289209701,7.701055645203958e-05,1.0906655748184908,-0.0006365112961337349,0.0002894631617595955,-0.00033265754125699765
3,8,0,-6.826496638434598e-05,-1.5342238270044106e-05,-1.487364707908334e-05,1.0892227229597609,0.005631588585016889,0.010707961220165265
3,9,0,-5.621437743119628e-05,-0.00014089347986501188,1.1226022041288024,-0.00041609110547868866,5.4885763209444605e-05,-0.00029289639182716876
4,0,0,-5.9691605020173455e-05,-0.005957604575457687,-6.6733954895425995e-06,1.0990799149707833,-0.015080422149062578,9.43162841204881e-06
4,1,0,-0.021068499507354677,-0.00016015798191904018,1.108545932184418,-0.0004620355170963375,0.00033367072313894575,-6.577202420920969e-05
4,2,0,2.9644002275119874e-05,-0.00024336627935928057,1.106289447975723,-0.0005501465438511044,0.016608879195751047,7.856067574829595e-05
4,3,0,-8.787502247287193e-05,-2.9598707644851174e-06,-5.7228986377388935e-05,1.11388356341725,7.796682312100067e-05,-4.942292052989572e-05
4,4,0,-0.023902772824299756,-5.0467383641450425e-05,-1.3325599613756012e-05,1.0962304037435884,-0.021624618185516642,-0.014184234015471198
4,5,0,0.0031084262267770946,-2.8612378297321328e-05,-2.6183951399749716e-05,1.110685162417431,0.048161325932248644,-0.004849452320000669
4,6,0,1.702663939617821e-05,-4.00352939216031e-05,1.0891804500379698,-0.0007134055323900768,4.7578755986377175e-05,0.0012988483482860858
4,7,0,-0.0002640916036127372,-0.0001086460477321971,1.0808278406654155,-0.0006556912368718137,3.5659683266020537e-05,-0.0002433665017722575
4,8,0,-5.165604719414851e-05,-4.5527020144708885e-05,1.086685616814363,-0.0005601455950201562,0.0001018392637630594,0.005793083334322269
4,9,0,0.0015470438405267295,-4.546358535595374e-05,-2.877338062767798e-05,1.1015345754173829,6.777309233330087e-05,-3.241143038534844e-05
5,0,0,-0.0258940563173109,-6.098326970049861e-05,-2.266456440613851e-05,1.093230262354696,0.025612082343885234,0.0
5,1,0,-5.8475516039102615e-05,-0.029189129368310418,-3.188393003439316e-05,1.0785416225335218,5.578940889972017e-05,3.0820810665854736e-06
5,2,0,-1.4996159293012568e-05,-7.40657827908997e-05,1.0877819756756932,-0.000681689395378493,0.000248878720801482,0.0
5,3,0,-3.7749464014913414e-05,-1.3473278714926096e-06,-1.3388043865303345e-05,1.068304977461432,6.106274432293723e-05,-0.035776102339108995
