,feature,mean,q.05,q.95,type
0,x1,0.01662046679777212,0.016070437930991565,0.017096600835939696,pfi
1,x2,0.01678709337488609,0.016276813267010526,0.017327944696878442,pfi
2,x3,0.00022266746644612707,0.00020956522094577021,0.00024258870935425856,pfi
3,x4,0.09473958550407038,0.0928650664067066,0.09589411717829055,pfi
4,x5,-1.8026781859565784e-09,-5.9889854607921355e-09,2.348113381967113e-09,pfi
5,x1,0.00010911746913213061,-0.00040768140219921855,0.0005299043796251537,rfi
6,x2,-8.171727694625299e-05,-0.0006313701737567121,0.0007658092703514605,rfi
7,x3,-3.024379282693518e-06,-2.3166457311028413e-05,1.645200810036655e-05,rfi
8,x4,0.0018084238981548012,-0.0009780086932133724,0.006362414687806868,rfi
9,x5,-2.3998021987897514e-09,-1.3686408700786489e-08,9.799109952738095e-09,rfi
10,x1,1.1324138964931849e-07,-1.069756295513655e-08,1.8151614083286058e-07,cfi
11,x2,1.0488649932600914e-07,2.3005290594870855e-08,1.8674306512617894e-07,cfi
12,x3,2.1087412326137137e-07,1.196240836928708e-07,3.2055542570112663e-07,cfi
13,x4,6.764392968783533e-06,4.887857351147716e-06,1.0049687509991393e-05,cfi
14,x5,-2.5729228285897508e-09,-7.027386681157091e-09,1.6176727776870573e-09,cfi
