,feature,mean,q.05,q.95,type
0,x1,4.434150650104232e-05,-0.0004929143120278445,0.0006460439845600326,conditional v(j)
1,x2,8.183829958904876e-05,-0.0004141373327185536,0.0006683364145871294,conditional v(j)
2,x3,0.003490191503152612,0.0031199711293360133,0.003906715586873375,conditional v(j)
3,x4,0.0036591744767750455,0.003181771470737809,0.003877075720104764,conditional v(j)
4,x5,0.003770379274683397,0.0029770818576901593,0.004286213699368958,conditional v(j)
5,x6,0.01099905064403236,0.010416818089342786,0.011372758413446597,conditional v(j)
6,x7,0.011038317459044713,0.010575661408280188,0.01133933693023937,conditional v(j)
7,x1,-8.320384535730367e-08,-9.268035850675364e-08,-5.783688850041369e-08,conditional v(-j u j) - v(-j)
8,x2,-8.696912309811259e-08,-1.0780360827184515e-07,-6.519351191979953e-08,conditional v(-j u j) - v(-j)
9,x3,-1.368172711831383e-07,-1.731328099114779e-07,-9.763504885685258e-08,conditional v(-j u j) - v(-j)
10,x4,3.399910052818617e-05,3.341879972994758e-05,3.4429377182634164e-05,conditional v(-j u j) - v(-j)
11,x5,0.0067416588692432115,0.006582964676313742,0.007013424675291224,conditional v(-j u j) - v(-j)
12,x6,6.763877274298512e-05,6.593195383550143e-05,6.941051066132443e-05,conditional v(-j u j) - v(-j)
13,x7,3.5804014928115904e-05,3.480588129941588e-05,3.682925110160175e-05,conditional v(-j u j) - v(-j)
14,x1,-11378.911885073387,-11758.291495790081,-11061.280933164482,marginal v(j)
15,x2,-11536.45925425657,-11933.375770609295,-11145.466484371658,marginal v(j)
16,x3,-5.030673650846876e-05,-8.358128318859334e-05,-1.298812941359155e-05,marginal v(j)
17,x4,0.003369876639766012,0.00318156294693687,0.003514091883788234,marginal v(j)
18,x5,0.003674691268010767,0.0033275243719439285,0.004033764090375112,marginal v(j)
19,x6,0.0007319897756960069,0.0004250334415310633,0.0010346885360107711,marginal v(j)
20,x7,-0.00312246215869387,-0.0034344295558390745,-0.0028651335125312047,marginal v(j)
21,x1,11307.934446878198,10973.2398728689,11558.409221478174,marginal v(-j u j) - v(-j)
22,x2,11415.55809888747,11082.251724483847,11679.77182914237,marginal v(-j u j) - v(-j)
23,x3,6.359104489942659e-05,6.12143354692318e-05,6.603592362506474e-05,marginal v(-j u j) - v(-j)
24,x4,0.0034067404478845278,0.0033181488467813303,0.0035053649390135405,marginal v(-j u j) - v(-j)
25,x5,0.006804669806413274,0.006560818967906589,0.00708445299891137,marginal v(-j u j) - v(-j)
26,x6,0.014004265650955328,0.013525829699481979,0.014435350780456617,marginal v(-j u j) - v(-j)
27,x7,0.00999687780987805,0.009785893036123256,0.010270254787297423,marginal v(-j u j) - v(-j)
