,feature,mean,q.05,q.95,type
0,x1,-7.770825112040046e-05,-0.0002187181149729071,4.4903154218051984e-05,pfi
1,x2,-2.372977031323137e-05,-0.00024846710429250306,0.00010970013488404116,pfi
2,x3,0.13220298793715193,0.12491892324245978,0.1383605366115799,pfi
3,x4,2.9517605472579613,2.8190166317254226,3.0507989325018365,pfi
4,x5,3.9269989365024074,3.813410402669962,4.036606670266288,pfi
5,x1,1.519114942120925e-06,6.541621026359343e-07,2.456103249511877e-06,cfi
6,x2,4.1202717479885134e-08,-8.370207462261511e-07,1.1081600494605005e-06,cfi
7,x3,0.000500974314668463,-0.00013620835442252672,0.0012916771563556998,cfi
8,x4,0.03355900545249632,0.03226104281379401,0.03528091832243455,cfi
9,x5,3.8458514301907956,3.7153019877063014,3.9735003912078763,cfi
