,feature,mean,q.05,q.95,type
0,x1,0.004390917149867057,-0.07101862047459939,0.10998291382107307,conditional v(j)
1,x2,0.027053525230416976,-0.054685776942260914,0.13766543976372086,conditional v(j)
2,x3,1.3105939491433207,1.2212906360669686,1.418366743464884,conditional v(j)
3,x4,1.2418531312123036,1.1518414897263634,1.3083085176183082,conditional v(j)
4,x5,1.3017210293136727,1.2141046217300544,1.4249399270985534,conditional v(j)
5,x1,-4.578761493432421e-07,-5.110280752059632e-07,-3.563551717529132e-07,conditional v(-j u j) - v(-j)
6,x2,-1.0787457586775712e-06,-1.1761643260095253e-06,-9.891922542176051e-07,conditional v(-j u j) - v(-j)
7,x3,-0.0005841319505584481,-0.0006331396388032557,-0.0005318729259042741,conditional v(-j u j) - v(-j)
8,x4,0.017445074076105703,0.017271118616131065,0.017607682836048525,conditional v(-j u j) - v(-j)
9,x5,1.9505480194131937,1.934660417276004,1.9618738184776585,conditional v(-j u j) - v(-j)
10,x1,-0.0002109237841118274,-0.014939321376342463,0.0229156404486886,marginal v(j)
11,x2,-0.0010860584562017105,-0.019301420871543608,0.01799305806412392,marginal v(j)
12,x3,0.215544324656749,0.19558201140109838,0.2330329608288975,marginal v(j)
13,x4,1.0370306946005088,1.027904481586219,1.0548005893969379,marginal v(j)
14,x5,1.077129487772768,1.0556860354695388,1.099009516728405,marginal v(j)
15,x1,-0.00026678469375858123,-0.00029175869482417436,-0.00023578776663329574,marginal v(-j u j) - v(-j)
16,x2,-0.00025641677907815955,-0.0002781926629851827,-0.00023766363060021662,marginal v(-j u j) - v(-j)
17,x3,0.09600187110489392,0.09507129900174223,0.0967988556162862,marginal v(-j u j) - v(-j)
18,x4,1.5364829030692793,1.5252450221993796,1.5472715573824376,marginal v(-j u j) - v(-j)
19,x5,1.9552618044735706,1.9471420666588104,1.9631031174957922,marginal v(-j u j) - v(-j)
